search_idx,search_id,rep,status,elapsed_sec,A_plus,A_minus,tau_plus,tau_minus,tau_pre_M,tau_post_M,A_pre_M,A_post_M,wmin,wmax,eps_w
1,search_001,1,success,17059.467264175415,0.0007,0.0006,11.7,14.0,13.0,13.0,3e-05,3e-05,-1.0,1.0,1e-12
2,search_002,1,success,17048.43999505043,0.0007,0.0006,11.7,14.0,13.0,14.0,3e-05,3e-05,-1.0,1.0,1e-12
3,search_003,1,success,16768.256702899933,0.0007,0.0006,11.7,14.0,13.0,15.0,3e-05,3e-05,-1.0,1.0,1e-12
4,search_004,1,success,16738.565356969833,0.0007,0.0006,11.7,14.0,13.0,16.0,3e-05,3e-05,-1.0,1.0,1e-12
5,search_005,1,success,16420.48355126381,0.0007,0.0006,11.7,14.0,13.0,17.0,3e-05,3e-05,-1.0,1.0,1e-12
6,search_006,1,success,17086.983066082,0.0007,0.0006,11.7,14.0,14.0,13.0,3e-05,3e-05,-1.0,1.0,1e-12
7,search_007,1,success,17183.124947071075,0.0007,0.0006,11.7,14.0,14.0,14.0,3e-05,3e-05,-1.0,1.0,1e-12
8,search_008,1,success,17001.860898971558,0.0007,0.0006,11.7,14.0,14.0,15.0,3e-05,3e-05,-1.0,1.0,1e-12
9,search_009,1,success,16777.852231025696,0.0007,0.0006,11.7,14.0,14.0,16.0,3e-05,3e-05,-1.0,1.0,1e-12
10,search_010,1,success,16822.181625843048,0.0007,0.0006,11.7,14.0,14.0,17.0,3e-05,3e-05,-1.0,1.0,1e-12
11,search_011,1,success,17449.739313840866,0.0007,0.0006,11.7,14.0,15.0,13.0,3e-05,3e-05,-1.0,1.0,1e-12
12,search_012,1,success,17078.154431819916,0.0007,0.0006,11.7,14.0,15.0,14.0,3e-05,3e-05,-1.0,1.0,1e-12
13,search_013,1,success,17000.287985801697,0.0007,0.0006,11.7,14.0,15.0,15.0,3e-05,3e-05,-1.0,1.0,1e-12
14,search_014,1,success,16909.35730600357,0.0007,0.0006,11.7,14.0,15.0,16.0,3e-05,3e-05,-1.0,1.0,1e-12
15,search_015,1,success,16893.302785158157,0.0007,0.0006,11.7,14.0,15.0,17.0,3e-05,3e-05,-1.0,1.0,1e-12
16,search_016,1,success,17429.04857969284,0.0007,0.0006,11.7,14.0,16.0,13.0,3e-05,3e-05,-1.0,1.0,1e-12
17,search_017,1,success,17387.47026371956,0.0007,0.0006,11.7,14.0,16.0,14.0,3e-05,3e-05,-1.0,1.0,1e-12
18,search_018,1,success,17316.569830179214,0.0007,0.0006,11.7,14.0,16.0,15.0,3e-05,3e-05,-1.0,1.0,1e-12
19,search_019,1,success,17059.788711071014,0.0007,0.0006,11.7,14.0,16.0,16.0,3e-05,3e-05,-1.0,1.0,1e-12
20,search_020,1,success,17076.63077902794,0.0007,0.0006,11.7,14.0,16.0,17.0,3e-05,3e-05,-1.0,1.0,1e-12
21,search_021,1,success,17415.816533088684,0.0007,0.0006,11.7,14.0,17.0,13.0,3e-05,3e-05,-1.0,1.0,1e-12
22,search_022,1,success,17515.711802005768,0.0007,0.0006,11.7,14.0,17.0,14.0,3e-05,3e-05,-1.0,1.0,1e-12
23,search_023,1,success,17385.933501005173,0.0007,0.0006,11.7,14.0,17.0,15.0,3e-05,3e-05,-1.0,1.0,1e-12
24,search_024,1,success,17228.504125118256,0.0007,0.0006,11.7,14.0,17.0,16.0,3e-05,3e-05,-1.0,1.0,1e-12
25,search_025,1,success,17121.025735139847,0.0007,0.0006,11.7,14.0,17.0,17.0,3e-05,3e-05,-1.0,1.0,1e-12
26,search_026,1,success,16663.168204069138,0.0007,0.0006,11.7,14.0,13.0,13.0,3e-05,4e-05,-1.0,1.0,1e-12
27,search_027,1,success,16479.59460568428,0.0007,0.0006,11.7,14.0,13.0,14.0,3e-05,4e-05,-1.0,1.0,1e-12
28,search_028,1,success,16621.643728017807,0.0007,0.0006,11.7,14.0,13.0,15.0,3e-05,4e-05,-1.0,1.0,1e-12
29,search_029,1,success,16262.950173854828,0.0007,0.0006,11.7,14.0,13.0,16.0,3e-05,4e-05,-1.0,1.0,1e-12
30,search_030,1,success,16182.130450963974,0.0007,0.0006,11.7,14.0,13.0,17.0,3e-05,4e-05,-1.0,1.0,1e-12
31,search_031,1,success,16701.605835676193,0.0007,0.0006,11.7,14.0,14.0,13.0,3e-05,4e-05,-1.0,1.0,1e-12
32,search_032,1,success,16548.364514112473,0.0007,0.0006,11.7,14.0,14.0,14.0,3e-05,4e-05,-1.0,1.0,1e-12
33,search_033,1,success,16554.935948848724,0.0007,0.0006,11.7,14.0,14.0,15.0,3e-05,4e-05,-1.0,1.0,1e-12
34,search_034,1,success,16476.20633292198,0.0007,0.0006,11.7,14.0,14.0,16.0,3e-05,4e-05,-1.0,1.0,1e-12
35,search_035,1,success,16470.929011821747,0.0007,0.0006,11.7,14.0,14.0,17.0,3e-05,4e-05,-1.0,1.0,1e-12
36,search_036,1,success,16710.17449903488,0.0007,0.0006,11.7,14.0,15.0,13.0,3e-05,4e-05,-1.0,1.0,1e-12
37,search_037,1,success,16530.44702386856,0.0007,0.0006,11.7,14.0,15.0,14.0,3e-05,4e-05,-1.0,1.0,1e-12
38,search_038,1,success,16474.586769104004,0.0007,0.0006,11.7,14.0,15.0,15.0,3e-05,4e-05,-1.0,1.0,1e-12
39,search_039,1,success,16505.01730322838,0.0007,0.0006,11.7,14.0,15.0,16.0,3e-05,4e-05,-1.0,1.0,1e-12
