metric,rule_a,rule_b,n_pairs,mean_a,mean_b,mean_difference_a_minus_b,paired_t_p,wilcoxon_p,paired_t_p_holm,wilcoxon_p_holm
accuracy8,off,STDP,10,0.632375,0.475375,0.15699999999999997,5.098529035159621e-08,0.001953125,3.059117421095773e-07,0.01171875
accuracy8,off,SRDP,10,0.632375,0.66625,-0.03387500000000002,0.042944939144107706,0.083984375,0.042944939144107706,0.083984375
accuracy8,off,T_STDP,10,0.632375,0.55725,0.07512499999999998,0.0027633218611937344,0.001953125,0.0074581230249223945,0.01171875
accuracy8,STDP,SRDP,10,0.475375,0.66625,-0.190875,3.6247568326267075e-07,0.001953125,1.8123784163133538e-06,0.01171875
accuracy8,STDP,T_STDP,10,0.475375,0.55725,-0.08187499999999999,0.002486041008307465,0.009765625,0.0074581230249223945,0.01953125
accuracy8,SRDP,T_STDP,10,0.66625,0.55725,0.10900000000000001,8.919847372080826e-06,0.001953125,3.56793894883233e-05,0.01171875
accuracy3,off,STDP,10,0.819125,0.743375,0.07574999999999998,2.6600547919939324e-06,0.001953125,1.3300273959969661e-05,0.01171875
accuracy3,off,SRDP,10,0.819125,0.8434999999999999,-0.024375000000000015,0.00819211623399911,0.009765625,0.01638423246799822,0.029296875
accuracy3,off,T_STDP,10,0.819125,0.7868749999999999,0.032250000000000015,0.015447104051642511,0.01953125,0.01638423246799822,0.029296875
accuracy3,STDP,SRDP,10,0.743375,0.8434999999999999,-0.10012499999999999,1.3395660964793591e-06,0.001953125,8.037396578876154e-06,0.01171875
accuracy3,STDP,T_STDP,10,0.743375,0.7868749999999999,-0.04349999999999997,0.004604002625814957,0.009765625,0.013812007877444871,0.029296875
accuracy3,SRDP,T_STDP,10,0.8434999999999999,0.7868749999999999,0.05662500000000002,1.5534849016116292e-05,0.001953125,6.213939606446517e-05,0.01171875
