rule,rep,accuracy8,accuracy3,source_file
SRDP,1,0.6525,0.82125,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep01_Tn_25_10fold_conf_matrices.xlsx
STDP,1,0.4675,0.71625,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep01_Tn_25_10fold_conf_matrices.xlsx
T_STDP,1,0.5,0.7525,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep01_Tn_25_10fold_conf_matrices.xlsx
SRDP,2,0.67125,0.83875,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep02_Tn_25_10fold_conf_matrices.xlsx
STDP,2,0.45625,0.7525,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep02_Tn_25_10fold_conf_matrices.xlsx
T_STDP,2,0.61875,0.8075,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep02_Tn_25_10fold_conf_matrices.xlsx
SRDP,3,0.70625,0.86125,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep03_Tn_25_10fold_conf_matrices.xlsx
STDP,3,0.46,0.725,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep03_Tn_25_10fold_conf_matrices.xlsx
T_STDP,3,0.57625,0.80125,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep03_Tn_25_10fold_conf_matrices.xlsx
SRDP,4,0.70375,0.85625,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep04_Tn_25_10fold_conf_matrices.xlsx
STDP,4,0.5025,0.7475,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep04_Tn_25_10fold_conf_matrices.xlsx
T_STDP,4,0.60125,0.81375,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep04_Tn_25_10fold_conf_matrices.xlsx
SRDP,5,0.685,0.86125,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep05_Tn_25_10fold_conf_matrices.xlsx
STDP,5,0.4325,0.72125,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep05_Tn_25_10fold_conf_matrices.xlsx
T_STDP,5,0.59125,0.82,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep05_Tn_25_10fold_conf_matrices.xlsx
SRDP,6,0.64,0.83625,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep06_Tn_25_10fold_conf_matrices.xlsx
STDP,6,0.42875,0.71125,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep06_Tn_25_10fold_conf_matrices.xlsx
T_STDP,6,0.5175,0.75625,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep06_Tn_25_10fold_conf_matrices.xlsx
SRDP,7,0.62375,0.8325,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep07_Tn_25_10fold_conf_matrices.xlsx
STDP,7,0.52,0.77625,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep07_Tn_25_10fold_conf_matrices.xlsx
T_STDP,7,0.50375,0.76125,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep07_Tn_25_10fold_conf_matrices.xlsx
SRDP,8,0.69875,0.8625,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep08_Tn_25_10fold_conf_matrices.xlsx
STDP,8,0.50375,0.76625,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep08_Tn_25_10fold_conf_matrices.xlsx
T_STDP,8,0.5925,0.80875,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep08_Tn_25_10fold_conf_matrices.xlsx
SRDP,9,0.61,0.8175,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep09_Tn_25_10fold_conf_matrices.xlsx
STDP,9,0.465,0.7425,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep09_Tn_25_10fold_conf_matrices.xlsx
T_STDP,9,0.565,0.79125,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep09_Tn_25_10fold_conf_matrices.xlsx
SRDP,10,0.67125,0.8475,C:\Users\haru4\研究\研究コード\code\results_10fold\SRDP_1\SRDP_1_rep10_Tn_25_10fold_conf_matrices.xlsx
STDP,10,0.5175,0.775,C:\Users\haru4\研究\研究コード\code\results_10fold\STDP_1\STDP_1_rep10_Tn_25_10fold_conf_matrices.xlsx
T_STDP,10,0.50625,0.75625,C:\Users\haru4\研究\研究コード\code\results_10fold\T_STDP_1\T_STDP_1_rep10_Tn_25_10fold_conf_matrices.xlsx
