rule,class,mean_recall,ci95_low,ci95_high
STDP,Al_board,0.8989999999999998,0.8803915514624184,0.9176084485375812
STDP,buta_omote,0.31600000000000006,0.2702320637132041,0.36176793628679604
STDP,buta_ura,0.257,0.21302510254663393,0.3009748974533661
STDP,cork,0.526,0.4775759791696339,0.5744240208303661
STDP,denim,0.473,0.4336662104059639,0.512333789594036
STDP,rubber_board,0.45099999999999996,0.3966820520284963,0.5053179479715035
STDP,washi,0.5780000000000001,0.5110802402458545,0.6449197597541456
STDP,wood_board,0.303,0.2735919568836233,0.3324080431163767
T_STDP,Al_board,0.905,0.8792626112672697,0.9307373887327304
T_STDP,buta_omote,0.392,0.36423284630360275,0.4197671536963973
T_STDP,buta_ura,0.39099999999999996,0.32859561572116414,0.4534043842788358
T_STDP,cork,0.5449999999999999,0.44966379949431023,0.6403362005056896
T_STDP,denim,0.5619999999999999,0.4532071988248553,0.6707928011751446
T_STDP,rubber_board,0.45400000000000007,0.41171923971591506,0.4962807602840851
T_STDP,washi,0.837,0.7931545931029352,0.8808454068970647
T_STDP,wood_board,0.372,0.32831699608671505,0.41568300391328494
SRDP,Al_board,0.924,0.9018354769326493,0.9461645230673508
SRDP,buta_omote,0.507,0.46959261699898847,0.5444073830010115
SRDP,buta_ura,0.538,0.4995803093658688,0.5764196906341313
SRDP,cork,0.7699999999999998,0.7231515559220667,0.8168484440779329
SRDP,denim,0.813,0.7886708529048514,0.8373291470951485
SRDP,rubber_board,0.484,0.4347608987304404,0.5332391012695595
SRDP,washi,0.908,0.8892849119158225,0.9267150880841776
SRDP,wood_board,0.386,0.34722674647933083,0.4247732535206692
