rule,rep,condition,accuracy8,accuracy3
SRDP,1,full,0.39875000000000005,0.75625
SRDP,1,independent_shift,0.3429166666666667,0.7145833333333332
SRDP,1,neuron_shuffled,0.33708333333333335,0.67
SRDP,1,rate_matched,0.39875,0.75625
SRDP,1,time_collapsed,0.34875,0.7074999999999999
SRDP,1,time_shuffled,0.36000000000000004,0.7241666666666667
SRDP,2,full,0.44125,0.785
SRDP,2,independent_shift,0.40958333333333335,0.7775
SRDP,2,neuron_shuffled,0.3245833333333334,0.7154166666666666
SRDP,2,rate_matched,0.44125,0.785
SRDP,2,time_collapsed,0.42374999999999996,0.7849999999999999
SRDP,2,time_shuffled,0.41625,0.7825000000000001
SRDP,3,full,0.46125000000000005,0.7925
SRDP,3,independent_shift,0.38999999999999996,0.7825000000000001
SRDP,3,neuron_shuffled,0.30791666666666667,0.6954166666666666
SRDP,3,rate_matched,0.46125,0.7925
SRDP,3,time_collapsed,0.4025,0.7737499999999999
SRDP,3,time_shuffled,0.39958333333333335,0.7799999999999999
SRDP,4,full,0.45999999999999996,0.7887500000000001
SRDP,4,independent_shift,0.4145833333333333,0.7895833333333333
SRDP,4,neuron_shuffled,0.33416666666666667,0.6916666666666668
SRDP,4,rate_matched,0.45999999999999996,0.78875
SRDP,4,time_collapsed,0.43499999999999994,0.7875
SRDP,4,time_shuffled,0.4270833333333333,0.7920833333333333
SRDP,5,full,0.49375,0.8
SRDP,5,independent_shift,0.41124999999999995,0.7712500000000001
SRDP,5,neuron_shuffled,0.32208333333333333,0.7191666666666667
SRDP,5,rate_matched,0.4937500000000001,0.8000000000000002
SRDP,5,time_collapsed,0.47375000000000006,0.77625
SRDP,5,time_shuffled,0.44166666666666665,0.7675000000000001
SRDP,6,full,0.41875,0.76
SRDP,6,independent_shift,0.3866666666666667,0.7687499999999999
SRDP,6,neuron_shuffled,0.31875000000000003,0.6595833333333333
SRDP,6,rate_matched,0.41875,0.7600000000000001
SRDP,6,time_collapsed,0.3875,0.7675000000000001
SRDP,6,time_shuffled,0.38749999999999996,0.765
SRDP,7,full,0.41875,0.7787499999999999
SRDP,7,independent_shift,0.37000000000000005,0.7583333333333333
SRDP,7,neuron_shuffled,0.3070833333333333,0.6595833333333334
SRDP,7,rate_matched,0.41875,0.7787499999999999
SRDP,7,time_collapsed,0.36875,0.7449999999999999
SRDP,7,time_shuffled,0.385,0.7729166666666667
SRDP,8,full,0.44875,0.7949999999999999
SRDP,8,independent_shift,0.4041666666666666,0.7975
SRDP,8,neuron_shuffled,0.3625,0.7025
SRDP,8,rate_matched,0.44875,0.7949999999999999
SRDP,8,time_collapsed,0.40499999999999997,0.7975000000000001
SRDP,8,time_shuffled,0.40874999999999995,0.7999999999999999
SRDP,9,full,0.43125,0.7837500000000001
SRDP,9,independent_shift,0.3675,0.7295833333333334
SRDP,9,neuron_shuffled,0.345,0.705
SRDP,9,rate_matched,0.4312500000000001,0.7837500000000001
SRDP,9,time_collapsed,0.38,0.73125
SRDP,9,time_shuffled,0.3741666666666667,0.7374999999999999
SRDP,10,full,0.4887499999999999,0.7999999999999999
SRDP,10,independent_shift,0.43500000000000005,0.7854166666666668
SRDP,10,neuron_shuffled,0.3745833333333333,0.77375
SRDP,10,rate_matched,0.48874999999999985,0.7999999999999999
SRDP,10,time_collapsed,0.45875000000000005,0.79375
SRDP,10,time_shuffled,0.45458333333333334,0.7916666666666666
STDP,1,full,0.4125,0.7475
STDP,1,independent_shift,0.3466666666666667,0.7420833333333334
STDP,1,neuron_shuffled,0.2383333333333333,0.5891666666666667
STDP,1,rate_matched,0.35874999999999996,0.7404166666666666
STDP,1,time_collapsed,0.36625,0.74125
STDP,1,time_shuffled,0.33958333333333335,0.7366666666666667
STDP,2,full,0.39375000000000004,0.74875
STDP,2,independent_shift,0.3179166666666667,0.7404166666666666
STDP,2,neuron_shuffled,0.26166666666666666,0.6341666666666667
STDP,2,rate_matched,0.3408333333333333,0.7320833333333333
STDP,2,time_collapsed,0.31875,0.74375
STDP,2,time_shuffled,0.31,0.7404166666666666
STDP,3,full,0.39,0.76625
STDP,3,independent_shift,0.315,0.7512500000000001
STDP,3,neuron_shuffled,0.22624999999999998,0.5908333333333333
STDP,3,rate_matched,0.33,0.7354166666666667
STDP,3,time_collapsed,0.3175,0.7525000000000001
STDP,3,time_shuffled,0.3045833333333333,0.7504166666666667
STDP,4,full,0.4125,0.7725
STDP,4,independent_shift,0.35958333333333337,0.7641666666666667
STDP,4,neuron_shuffled,0.26166666666666666,0.61875
STDP,4,rate_matched,0.35708333333333336,0.7425
STDP,4,time_collapsed,0.36,0.765
STDP,4,time_shuffled,0.3625,0.76125
STDP,5,full,0.38999999999999996,0.7787499999999999
STDP,5,independent_shift,0.33375,0.77
STDP,5,neuron_shuffled,0.23666666666666666,0.60875
STDP,5,rate_matched,0.31666666666666665,0.74125
STDP,5,time_collapsed,0.34125,0.7699999999999999
STDP,5,time_shuffled,0.30791666666666667,0.7654166666666667
STDP,6,full,0.38249999999999995,0.745
STDP,6,independent_shift,0.33791666666666664,0.7445833333333334
STDP,6,neuron_shuffled,0.255,0.5891666666666667
STDP,6,rate_matched,0.3358333333333334,0.7233333333333333
STDP,6,time_collapsed,0.33875,0.7425
STDP,6,time_shuffled,0.32,0.7391666666666667
STDP,7,full,0.39499999999999996,0.7762500000000001
STDP,7,independent_shift,0.3466666666666667,0.76125
STDP,7,neuron_shuffled,0.23833333333333337,0.6179166666666667
STDP,7,rate_matched,0.34708333333333324,0.7520833333333333
STDP,7,time_collapsed,0.34625,0.7649999999999999
STDP,7,time_shuffled,0.32833333333333337,0.76125
STDP,8,full,0.40499999999999997,0.765
STDP,8,independent_shift,0.33208333333333334,0.75375
STDP,8,neuron_shuffled,0.26708333333333334,0.63375
STDP,8,rate_matched,0.32791666666666663,0.7420833333333333
STDP,8,time_collapsed,0.3275,0.75125
STDP,8,time_shuffled,0.32833333333333337,0.7516666666666666
STDP,9,full,0.385,0.7612500000000001
STDP,9,independent_shift,0.31708333333333333,0.76125
STDP,9,neuron_shuffled,0.255,0.6108333333333333
STDP,9,rate_matched,0.3620833333333333,0.7525000000000001
STDP,9,time_collapsed,0.3225,0.76375
STDP,9,time_shuffled,0.3104166666666666,0.7520833333333332
STDP,10,full,0.40374999999999994,0.7775
STDP,10,independent_shift,0.3529166666666666,0.7833333333333333
STDP,10,neuron_shuffled,0.27999999999999997,0.6941666666666667
STDP,10,rate_matched,0.3829166666666666,0.7766666666666667
STDP,10,time_collapsed,0.35875,0.7849999999999999
STDP,10,time_shuffled,0.34500000000000003,0.7841666666666667
T_STDP,1,full,0.3825,0.7425
T_STDP,1,independent_shift,0.32916666666666666,0.74125
T_STDP,1,neuron_shuffled,0.27375,0.6566666666666667
T_STDP,1,rate_matched,0.38125000000000003,0.7483333333333334
T_STDP,1,time_collapsed,0.33875,0.7362500000000001
T_STDP,1,time_shuffled,0.3283333333333333,0.7400000000000001
T_STDP,2,full,0.43374999999999997,0.79
T_STDP,2,independent_shift,0.3445833333333333,0.7570833333333332
T_STDP,2,neuron_shuffled,0.26416666666666666,0.6441666666666667
T_STDP,2,rate_matched,0.42,0.7870833333333334
T_STDP,2,time_collapsed,0.35375000000000006,0.7787499999999999
T_STDP,2,time_shuffled,0.3633333333333333,0.7870833333333334
T_STDP,3,full,0.39249999999999996,0.77625
T_STDP,3,independent_shift,0.32499999999999996,0.7695833333333333
T_STDP,3,neuron_shuffled,0.24416666666666664,0.6404166666666667
T_STDP,3,rate_matched,0.4091666666666667,0.7795833333333334
T_STDP,3,time_collapsed,0.34125,0.7699999999999999
T_STDP,3,time_shuffled,0.35208333333333336,0.7816666666666666
T_STDP,4,full,0.41375,0.76125
T_STDP,4,independent_shift,0.3525,0.75
T_STDP,4,neuron_shuffled,0.2866666666666667,0.7029166666666667
T_STDP,4,rate_matched,0.3945833333333333,0.76125
T_STDP,4,time_collapsed,0.36375,0.7499999999999999
T_STDP,4,time_shuffled,0.3591666666666667,0.7479166666666665
T_STDP,5,full,0.37500000000000006,0.77375
T_STDP,5,independent_shift,0.32625,0.77
T_STDP,5,neuron_shuffled,0.27875,0.6979166666666666
T_STDP,5,rate_matched,0.37749999999999995,0.7866666666666666
T_STDP,5,time_collapsed,0.34125,0.7737499999999999
T_STDP,5,time_shuffled,0.33958333333333335,0.7733333333333334
T_STDP,6,full,0.39,0.74625
T_STDP,6,independent_shift,0.32666666666666666,0.7329166666666667
T_STDP,6,neuron_shuffled,0.2583333333333333,0.65625
T_STDP,6,rate_matched,0.3645833333333333,0.7454166666666667
T_STDP,6,time_collapsed,0.34,0.7350000000000001
T_STDP,6,time_shuffled,0.32666666666666666,0.7345833333333335
T_STDP,7,full,0.39499999999999996,0.7812499999999999
T_STDP,7,independent_shift,0.3591666666666667,0.7704166666666667
T_STDP,7,neuron_shuffled,0.2704166666666667,0.6608333333333333
T_STDP,7,rate_matched,0.3879166666666667,0.7725
T_STDP,7,time_collapsed,0.37625000000000003,0.77625
T_STDP,7,time_shuffled,0.35791666666666666,0.7745833333333333
T_STDP,8,full,0.43999999999999995,0.78125
T_STDP,8,independent_shift,0.3429166666666667,0.7620833333333333
T_STDP,8,neuron_shuffled,0.27791666666666665,0.6887500000000001
T_STDP,8,rate_matched,0.42124999999999996,0.7787499999999999
T_STDP,8,time_collapsed,0.38125,0.7775000000000001
T_STDP,8,time_shuffled,0.3770833333333334,0.7933333333333333
T_STDP,9,full,0.385,0.7737499999999999
T_STDP,9,independent_shift,0.32,0.7470833333333333
T_STDP,9,neuron_shuffled,0.2708333333333333,0.7054166666666667
T_STDP,9,rate_matched,0.3829166666666666,0.7691666666666667
T_STDP,9,time_collapsed,0.31999999999999995,0.74375
T_STDP,9,time_shuffled,0.32,0.7475
T_STDP,10,full,0.40625,0.77875
T_STDP,10,independent_shift,0.3445833333333333,0.7845833333333333
T_STDP,10,neuron_shuffled,0.2720833333333333,0.6958333333333333
T_STDP,10,rate_matched,0.38999999999999996,0.7787499999999999
T_STDP,10,time_collapsed,0.35374999999999995,0.7862500000000001
T_STDP,10,time_shuffled,0.3358333333333334,0.7845833333333333
