rule,rep,condition,randomization,accuracy8,accuracy3,n_features
STDP,1,full,0,0.4125,0.7475,800
STDP,1,time_collapsed,0,0.36625,0.74125,40
STDP,1,time_shuffled,0,0.33375,0.7362500000000001,800
STDP,1,time_shuffled,1,0.34625000000000006,0.73875,800
STDP,1,time_shuffled,2,0.33875,0.7350000000000001,800
STDP,1,independent_shift,0,0.33499999999999996,0.74,800
STDP,1,independent_shift,1,0.34625,0.73875,800
STDP,1,independent_shift,2,0.35874999999999996,0.7475,800
STDP,1,neuron_shuffled,0,0.24375,0.5875000000000001,800
STDP,1,neuron_shuffled,1,0.2325,0.5725,800
STDP,1,neuron_shuffled,2,0.23874999999999996,0.6074999999999999,800
STDP,1,rate_matched,0,0.36,0.7449999999999999,800
STDP,1,rate_matched,1,0.36625,0.73125,800
STDP,1,rate_matched,2,0.35,0.745,800
T_STDP,1,full,0,0.3825,0.7425,800
T_STDP,1,time_collapsed,0,0.33875,0.7362500000000001,40
T_STDP,1,time_shuffled,0,0.32875,0.74375,800
T_STDP,1,time_shuffled,1,0.335,0.73875,800
T_STDP,1,time_shuffled,2,0.32125,0.7375,800
T_STDP,1,independent_shift,0,0.3225,0.74125,800
T_STDP,1,independent_shift,1,0.3325,0.74,800
T_STDP,1,independent_shift,2,0.33249999999999996,0.7424999999999999,800
T_STDP,1,neuron_shuffled,0,0.26249999999999996,0.635,800
T_STDP,1,neuron_shuffled,1,0.27875000000000005,0.675,800
T_STDP,1,neuron_shuffled,2,0.27999999999999997,0.66,800
T_STDP,1,rate_matched,0,0.3775,0.7412500000000001,800
T_STDP,1,rate_matched,1,0.39,0.7474999999999999,800
T_STDP,1,rate_matched,2,0.37625,0.75625,800
SRDP,1,full,0,0.39875000000000005,0.75625,800
SRDP,1,time_collapsed,0,0.34875,0.7074999999999999,40
SRDP,1,time_shuffled,0,0.35750000000000004,0.7175,800
SRDP,1,time_shuffled,1,0.36375,0.72875,800
SRDP,1,time_shuffled,2,0.35875,0.7262500000000001,800
SRDP,1,independent_shift,0,0.34875,0.71875,800
SRDP,1,independent_shift,1,0.34125,0.7150000000000001,800
SRDP,1,independent_shift,2,0.33875,0.71,800
SRDP,1,neuron_shuffled,0,0.3575,0.675,800
SRDP,1,neuron_shuffled,1,0.33875,0.6625,800
SRDP,1,neuron_shuffled,2,0.31499999999999995,0.6725000000000001,800
SRDP,1,rate_matched,0,0.39875000000000005,0.75625,800
SRDP,1,rate_matched,1,0.39875000000000005,0.75625,800
SRDP,1,rate_matched,2,0.39875000000000005,0.75625,800
STDP,2,full,0,0.39375000000000004,0.74875,800
STDP,2,time_collapsed,0,0.31875,0.74375,40
STDP,2,time_shuffled,0,0.3,0.74125,800
STDP,2,time_shuffled,1,0.31000000000000005,0.74,800
STDP,2,time_shuffled,2,0.32,0.74,800
STDP,2,independent_shift,0,0.32,0.73875,800
STDP,2,independent_shift,1,0.3125,0.74,800
STDP,2,independent_shift,2,0.32125,0.7424999999999999,800
STDP,2,neuron_shuffled,0,0.26625,0.6362499999999999,800
STDP,2,neuron_shuffled,1,0.2525,0.6375,800
STDP,2,neuron_shuffled,2,0.26625,0.6287499999999999,800
STDP,2,rate_matched,0,0.34875,0.7175,800
STDP,2,rate_matched,1,0.33125,0.7374999999999999,800
STDP,2,rate_matched,2,0.3425,0.74125,800
T_STDP,2,full,0,0.43374999999999997,0.79,800
T_STDP,2,time_collapsed,0,0.35375000000000006,0.7787499999999999,40
T_STDP,2,time_shuffled,0,0.36124999999999996,0.7925,800
T_STDP,2,time_shuffled,1,0.36124999999999996,0.7849999999999999,800
T_STDP,2,time_shuffled,2,0.3675,0.7837500000000001,800
T_STDP,2,independent_shift,0,0.3325,0.7575,800
T_STDP,2,independent_shift,1,0.33625000000000005,0.7562499999999999,800
T_STDP,2,independent_shift,2,0.365,0.7575,800
T_STDP,2,neuron_shuffled,0,0.27125,0.665,800
T_STDP,2,neuron_shuffled,1,0.25750000000000006,0.6375,800
T_STDP,2,neuron_shuffled,2,0.26375,0.6300000000000001,800
T_STDP,2,rate_matched,0,0.42374999999999996,0.79,800
T_STDP,2,rate_matched,1,0.4175,0.785,800
T_STDP,2,rate_matched,2,0.41875,0.78625,800
SRDP,2,full,0,0.44125,0.785,800
SRDP,2,time_collapsed,0,0.42374999999999996,0.7849999999999999,40
SRDP,2,time_shuffled,0,0.4175,0.7787499999999999,800
SRDP,2,time_shuffled,1,0.41375,0.7849999999999999,800
SRDP,2,time_shuffled,2,0.4175,0.7837500000000001,800
SRDP,2,independent_shift,0,0.3975,0.7725,800
SRDP,2,independent_shift,1,0.42000000000000004,0.78125,800
SRDP,2,independent_shift,2,0.41125,0.7787499999999999,800
SRDP,2,neuron_shuffled,0,0.33625000000000005,0.7175,800
SRDP,2,neuron_shuffled,1,0.30625,0.7012499999999999,800
