comparison_type,family,rule,metric,comparison,mean_difference,ci95_low,ci95_high,wilcoxon_p,decreased_reps,wilcoxon_p_holm
within_rule_vs_full,within_STDP_accuracy8,STDP,accuracy8,time_collapsed - full,-0.057249999999999954,-0.06680484354704051,-0.047695156452959395,0.001953125,10,0.009765625
within_rule_vs_full,within_STDP_accuracy8,STDP,accuracy8,time_shuffled - full,-0.07133333333333329,-0.07967182732377785,-0.06299483934288873,0.001953125,10,0.009765625
within_rule_vs_full,within_STDP_accuracy8,STDP,accuracy8,independent_shift - full,-0.061041666666666626,-0.06947369216521182,-0.052609641168121425,0.001953125,10,0.009765625
within_rule_vs_full,within_STDP_accuracy8,STDP,accuracy8,neuron_shuffled - full,-0.14499999999999996,-0.15725576789476628,-0.13274423210523364,0.001953125,10,0.009765625
within_rule_vs_full,within_STDP_accuracy8,STDP,accuracy8,rate_matched - full,-0.0510833333333333,-0.06418254462770635,-0.03798412203896025,0.001953125,10,0.009765625
within_rule_vs_full,within_STDP_accuracy3,STDP,accuracy3,time_collapsed - full,-0.00587500000000003,-0.010791723699254536,-0.0009582763007455249,0.0390625,8,0.0390625
within_rule_vs_full,within_STDP_accuracy3,STDP,accuracy3,time_shuffled - full,-0.009625000000000017,-0.014277642585832584,-0.004972357414167451,0.005859375,9,0.017578125
within_rule_vs_full,within_STDP_accuracy3,STDP,accuracy3,independent_shift - full,-0.006666666666666665,-0.011501495759364915,-0.0018318375739684156,0.013671875,9,0.02734375
within_rule_vs_full,within_STDP_accuracy3,STDP,accuracy3,neuron_shuffled - full,-0.14512499999999998,-0.16514058267567272,-0.12510941732432723,0.001953125,10,0.009765625
within_rule_vs_full,within_STDP_accuracy3,STDP,accuracy3,rate_matched - full,-0.02004166666666668,-0.0283844805533711,-0.01169885277996226,0.001953125,10,0.009765625
within_rule_vs_full,within_T_STDP_accuracy8,T_STDP,accuracy8,time_collapsed - full,-0.05037499999999999,-0.06226814472097097,-0.03848185527902901,0.001953125,10,0.009765625
within_rule_vs_full,within_T_STDP_accuracy8,T_STDP,accuracy8,time_shuffled - full,-0.05537499999999997,-0.06498470049886895,-0.045765299501131,0.001953125,10,0.009765625
within_rule_vs_full,within_T_STDP_accuracy8,T_STDP,accuracy8,independent_shift - full,-0.06429166666666666,-0.0771181402009582,-0.051465193132375124,0.001953125,10,0.009765625
within_rule_vs_full,within_T_STDP_accuracy8,T_STDP,accuracy8,neuron_shuffled - full,-0.13166666666666665,-0.14819369825917955,-0.11513963507415377,0.001953125,10,0.009765625
within_rule_vs_full,within_T_STDP_accuracy8,T_STDP,accuracy8,rate_matched - full,-0.008458333333333328,-0.01751552175421406,0.0005988550875474005,0.083984375,8,0.083984375
within_rule_vs_full,within_T_STDP_accuracy3,T_STDP,accuracy3,time_collapsed - full,-0.00774999999999999,-0.014712235562416808,-0.0007877644375831726,0.02734375,9,0.08203125
within_rule_vs_full,within_T_STDP_accuracy3,T_STDP,accuracy3,time_shuffled - full,-0.004041666666666654,-0.01198019717743199,0.003896863844098683,0.322265625,7,0.64453125
within_rule_vs_full,within_T_STDP_accuracy3,T_STDP,accuracy3,independent_shift - full,-0.01200000000000001,-0.02038924465951108,-0.003610755340488943,0.009765625,9,0.0390625
within_rule_vs_full,within_T_STDP_accuracy3,T_STDP,accuracy3,neuron_shuffled - full,-0.09558333333333331,-0.1163412799917224,-0.07482538667494422,0.001953125,10,0.009765625
within_rule_vs_full,within_T_STDP_accuracy3,T_STDP,accuracy3,rate_matched - full,0.00025000000000000575,-0.004044624595670573,0.004544624595670584,0.91015625,6,0.91015625
within_rule_vs_full,within_SRDP_accuracy8,SRDP,accuracy8,time_collapsed - full,-0.037750000000000006,-0.04827808094787208,-0.02722191905212793,0.001953125,10,0.009765625
within_rule_vs_full,within_SRDP_accuracy8,SRDP,accuracy8,time_shuffled - full,-0.040666666666666684,-0.04936032533784618,-0.03197300799548719,0.001953125,10,0.009765625
within_rule_vs_full,within_SRDP_accuracy8,SRDP,accuracy8,independent_shift - full,-0.05295833333333333,-0.06455818788052631,-0.041358478786140344,0.001953125,10,0.009765625
within_rule_vs_full,within_SRDP_accuracy8,SRDP,accuracy8,neuron_shuffled - full,-0.11274999999999999,-0.13597241959757816,-0.08952758040242181,0.001953125,10,0.009765625
within_rule_vs_full,within_SRDP_accuracy8,SRDP,accuracy8,rate_matched - full,5.551115123125783e-18,-1.6990277964734863e-17,2.809250821098643e-17,1.0,1,1.0
within_rule_vs_full,within_SRDP_accuracy3,SRDP,accuracy3,time_collapsed - full,-0.017500000000000026,-0.03300513059633027,-0.001994869403669785,0.048828125,8,0.1484375
within_rule_vs_full,within_SRDP_accuracy3,SRDP,accuracy3,time_shuffled - full,-0.01266666666666667,-0.025611995224762076,0.00027866189142873414,0.060546875,7,0.1484375
within_rule_vs_full,within_SRDP_accuracy3,SRDP,accuracy3,independent_shift - full,-0.016499999999999994,-0.03089326266006138,-0.0021067373399386077,0.037109375,7,0.1484375
within_rule_vs_full,within_SRDP_accuracy3,SRDP,accuracy3,neuron_shuffled - full,-0.08479166666666665,-0.10247590223128497,-0.06710743110204834,0.001953125,10,0.009765625
within_rule_vs_full,within_SRDP_accuracy3,SRDP,accuracy3,rate_matched - full,1.1102230246251566e-17,-3.3980555929469727e-17,5.618501642197285e-17,1.0,1,1.0
between_rules,between_accuracy8,SRDP vs T_STDP,accuracy8,SRDP - T_STDP (full),0.04475000000000002,0.01898570049273445,0.0705142995072656,0.001953125,0,0.01171875
between_rules,between_accuracy8,SRDP vs T_STDP,accuracy8,SRDP - T_STDP (time_collapsed),0.057374999999999995,0.02724399572633444,0.08750600427366555,0.00390625,1,0.01171875
between_rules,between_accuracy8,SRDP vs T_STDP,accuracy8,SRDP - T_STDP (time_shuffled),0.0594583333333333,0.0378490845366136,0.081067582130053,0.001953125,0,0.01171875
between_rules,between_accuracy8,SRDP vs T_STDP,accuracy8,SRDP - T_STDP (independent_shift),0.05608333333333333,0.0373601241430742,0.07480654252359246,0.001953125,0,0.01171875
between_rules,between_accuracy8,SRDP vs T_STDP,accuracy8,SRDP - T_STDP (neuron_shuffled),0.06366666666666668,0.04959831765031178,0.07773501568302157,0.001953125,0,0.01171875
between_rules,between_accuracy8,SRDP vs T_STDP,accuracy8,SRDP - T_STDP (rate_matched),0.053208333333333344,0.02974619309293653,0.07667047357373016,0.001953125,0,0.01171875
between_rules,between_accuracy3,SRDP vs T_STDP,accuracy3,SRDP - T_STDP (full),0.013500000000000002,0.005821706283366127,0.021178293716633878,0.009765625,2,0.048828125
between_rules,between_accuracy3,SRDP vs T_STDP,accuracy3,SRDP - T_STDP (time_collapsed),0.0037499999999999643,-0.012765081459647137,0.020265081459647068,0.4921875,3,0.984375
between_rules,between_accuracy3,SRDP vs T_STDP,accuracy3,SRDP - T_STDP (time_shuffled),0.004874999999999985,-0.008495594009658132,0.018245594009658105,0.845703125,6,0.984375
between_rules,between_accuracy3,SRDP vs T_STDP,accuracy3,SRDP - T_STDP (independent_shift),0.009000000000000018,-0.007936013081652312,0.02593601308165235,0.232421875,3,0.697265625
between_rules,between_accuracy3,SRDP vs T_STDP,accuracy3,SRDP - T_STDP (neuron_shuffled),0.024291666666666656,0.0013834468514177037,0.04719988648191561,0.037109375,3,0.1484375
between_rules,between_accuracy3,SRDP vs T_STDP,accuracy3,SRDP - T_STDP (rate_matched),0.013250000000000007,0.00744677605007407,0.019053223949925945,0.00390625,1,0.0234375
