rule,rep,mean_rate_hz,temporal_sparsity,active_neuron_fraction,effective_dimension,mean_abs_neuron_correlation,class_selectivity,feature_separability,accuracy8,accuracy3,source_file
STDP,1,173.0070625,0.8269929375,0.45115625,1.012515367087846,0.6829019568413175,0.10095301154384921,0.5471892159803612,0.4675,0.71625,C:\Users\haru4\研究\研究コード\code\STDP\STDP_1_sout_rec_rep1.npy
T_STDP,1,129.1190625,0.8708809375,0.40028125,1.0252980661616355,0.7091925622862587,0.0911653111147975,0.6698295750922666,0.5,0.7525,C:\Users\haru4\研究\研究コード\code\T_STDP\T_STDP_1_sout_rec_rep1.npy
SRDP,1,98.9855625,0.9010144375,0.6,1.5777926166734844,0.7507876517248433,0.014561329227275432,0.38915374184976453,0.6525,0.82125,C:\Users\haru4\研究\研究コード\code\SRDP\SRDP_1_sout_rec_rep1.npy
STDP,2,228.3565625,0.7716434375,0.60003125,1.017296230988946,0.9138581825000237,0.03564382914097299,0.47603643336565815,0.45625,0.7525,C:\Users\haru4\研究\研究コード\code\STDP\STDP_1_sout_rec_rep2.npy
T_STDP,2,137.88525,0.86211475,0.438,1.1053897781186233,0.6856283220153986,0.09818371888761124,0.5666562982917761,0.61875,0.8075,C:\Users\haru4\研究\研究コード\code\T_STDP\T_STDP_1_sout_rec_rep2.npy
SRDP,2,88.9195625,0.9110804375,0.6208125,1.7808793180999598,0.6306207988374827,0.0407282541730096,0.4937960940277622,0.67125,0.83875,C:\Users\haru4\研究\研究コード\code\SRDP\SRDP_1_sout_rec_rep2.npy
STDP,3,208.0834375,0.7919165625,0.525125,1.0165071234019367,0.7627559614088042,0.08275011401986779,0.5037480184833907,0.46,0.725,C:\Users\haru4\研究\研究コード\code\STDP\STDP_1_sout_rec_rep3.npy
T_STDP,3,152.0129375,0.8479870625,0.43528125,1.0467363228631534,0.6481113574210464,0.12550942635582338,0.6344581963771124,0.57625,0.80125,C:\Users\haru4\研究\研究コード\code\T_STDP\T_STDP_1_sout_rec_rep3.npy
SRDP,3,85.0080625,0.9149919375,0.54746875,2.080361146593617,0.5040014622380518,0.07747397448647207,0.457082509576898,0.70625,0.86125,C:\Users\haru4\研究\研究コード\code\SRDP\SRDP_1_sout_rec_rep3.npy
STDP,4,237.236875,0.762763125,0.600375,1.0257643177087201,0.7348954253898686,0.10155153913549979,0.5406035840122849,0.5025,0.7475,C:\Users\haru4\研究\研究コード\code\STDP\STDP_1_sout_rec_rep4.npy
T_STDP,4,180.5870625,0.8194129375,0.5505625,1.0578199740847163,0.6216845963026221,0.16384495785579775,0.681315527163589,0.60125,0.81375,C:\Users\haru4\研究\研究コード\code\T_STDP\T_STDP_1_sout_rec_rep4.npy
