domain,metric,comparison,n_pairs,mean_difference,ci95_low,ci95_high,wilcoxon_p,srdp_higher,ties
firing,mean_rate_hz,SRDP - STDP,10,-125.23331249999998,-140.74617772241052,-109.72044727758944,0.001953125,0,0
firing,mean_rate_hz,SRDP - T_STDP,10,-71.00406875000002,-87.63346504538798,-54.37467245461205,0.001953125,0,0
firing,temporal_sparsity,SRDP - STDP,10,0.1252333125,0.10972044727758945,0.14074617772241055,0.001953125,10,0
firing,temporal_sparsity,SRDP - T_STDP,10,0.07100406875000002,0.054374672454612055,0.08763346504538799,0.001953125,10,0
firing,active_neuron_fraction,SRDP - STDP,10,0.039015625000000005,0.007253470041947679,0.07077777995805233,0.0078125,8,1
firing,active_neuron_fraction,SRDP - T_STDP,10,0.11075000000000004,0.07222429327311684,0.14927570672688323,0.001953125,10,0
firing,effective_dimension,SRDP - STDP,10,0.6155886290451271,0.40383780269132846,0.8273394553989257,0.001953125,10,0
firing,effective_dimension,SRDP - T_STDP,10,0.5983984695522186,0.3890131486342534,0.8077837904701839,0.001953125,10,0
firing,mean_abs_neuron_correlation,SRDP - STDP,10,-0.20597586038244167,-0.3113999030586614,-0.10055181770622199,0.00390625,1,0
firing,mean_abs_neuron_correlation,SRDP - T_STDP,10,-0.07213649458355136,-0.16659234507805115,0.022319355910948427,0.232421875,4,0
firing,class_selectivity,SRDP - STDP,10,0.0022405625926976342,-0.023171231908585225,0.027652357093980496,0.375,7,0
firing,class_selectivity,SRDP - T_STDP,10,-0.05030173780093574,-0.07283906110583072,-0.02776441449604076,0.00390625,1,0
firing,feature_separability,SRDP - STDP,10,-0.06499195589225189,-0.13482695767082253,0.004843045886318759,0.10546875,2,0
firing,feature_separability,SRDP - T_STDP,10,-0.18678399159167935,-0.2578741995482887,-0.11569378363507002,0.00390625,1,0
weights,final_abs_mean,SRDP - STDP,10,-0.0055074707771754355,-0.006293409160272457,-0.0047215323940784145,0.001953125,0,0
weights,final_abs_mean,SRDP - T_STDP,10,-0.003440892246813988,-0.004129640756705491,-0.0027521437369224847,0.001953125,0,0
weights,delta_mean,SRDP - STDP,10,-0.005519819545675893,-0.006305834524859133,-0.004733804566492653,0.001953125,0,0
weights,delta_mean,SRDP - T_STDP,10,-0.0034535761805728716,-0.004141815510747354,-0.002765336850398389,0.001953125,0,0
weights,delta_abs_mean,SRDP - STDP,10,-0.005195576401230572,-0.005956491848089664,-0.004434660954371479,0.001953125,0,0
weights,delta_abs_mean,SRDP - T_STDP,10,-0.0031579877650993633,-0.0038464066130097273,-0.0024695689171889993,0.001953125,0,0
weights,potentiated_fraction,SRDP - STDP,10,-0.0033736602171736685,-0.0039684645157102546,-0.0027788559186370824,0.001953125,0,0
weights,potentiated_fraction,SRDP - T_STDP,10,-0.002974119960912525,-0.003416992764259694,-0.0025312471575653557,0.001953125,0,0
weights,depressed_fraction,SRDP - STDP,10,0.003373660217173702,0.0027788559186371084,0.003968464515710295,0.001953125,10,0
weights,depressed_fraction,SRDP - T_STDP,10,0.002974119960912547,0.002531247157565368,0.003416992764259726,0.001953125,10,0
weights,unchanged_fraction,SRDP - STDP,10,0.0,0.0,0.0,1.0,0,10
weights,unchanged_fraction,SRDP - T_STDP,10,0.0,0.0,0.0,1.0,0,10
weights,near_zero_fraction,SRDP - STDP,10,0.007967668775155867,0.00593518913572671,0.010000148414585025,0.001953125,10,0
weights,near_zero_fraction,SRDP - T_STDP,10,0.007995907008480619,0.006178620003405518,0.00981319401355572,0.001953125,10,0
weights,upper_saturation_fraction,SRDP - STDP,10,-0.0022617066175771574,-0.003323765137860515,-0.0011996480972938,0.001953125,0,0
weights,upper_saturation_fraction,SRDP - T_STDP,10,-0.0014208495440587992,-0.0022317931131615324,-0.0006099059749560657,0.001953125,0,0
weights,lower_saturation_fraction,SRDP - STDP,10,0.0,0.0,0.0,1.0,0,10
weights,lower_saturation_fraction,SRDP - T_STDP,10,0.0,0.0,0.0,1.0,0,10
