rule,rep,n_neurons,draw,accuracy8,accuracy3
STDP,1,1,0,0.125,0.375
STDP,1,1,1,0.125,0.375
STDP,1,1,2,0.37875,0.7462500000000001
STDP,1,1,3,0.3825,0.74125
STDP,1,1,4,0.125,0.375
STDP,1,1,5,0.125,0.375
STDP,1,1,6,0.125,0.375
STDP,1,1,7,0.125,0.375
STDP,1,1,8,0.125,0.375
STDP,1,1,9,0.125,0.375
STDP,1,2,0,0.13,0.37875
STDP,1,2,1,0.36874999999999997,0.7475
STDP,1,2,2,0.13,0.37875
STDP,1,2,3,0.125,0.375
STDP,1,2,4,0.37249999999999994,0.74875
STDP,1,2,5,0.36125,0.7525000000000001
STDP,1,2,6,0.38,0.7424999999999999
STDP,1,2,7,0.37375,0.74875
STDP,1,2,8,0.37375,0.74875
STDP,1,2,9,0.1625,0.41375
STDP,1,5,0,0.3837499999999999,0.74875
STDP,1,5,1,0.3400000000000001,0.7525
STDP,1,5,2,0.375,0.74875
STDP,1,5,3,0.3725,0.74625
STDP,1,5,4,0.36,0.745
STDP,1,5,5,0.3775,0.7475
STDP,1,5,6,0.37249999999999994,0.73625
STDP,1,5,7,0.125,0.375
STDP,1,5,8,0.37,0.74
STDP,1,5,9,0.38,0.74375
STDP,1,10,0,0.36750000000000005,0.7525000000000001
STDP,1,10,1,0.36750000000000005,0.7474999999999999
STDP,1,10,2,0.37875000000000003,0.7437500000000001
STDP,1,10,3,0.37875000000000003,0.7424999999999999
STDP,1,10,4,0.3775,0.7525000000000001
STDP,1,10,5,0.3775,0.745
STDP,1,10,6,0.36250000000000004,0.75125
STDP,1,10,7,0.37,0.74375
STDP,1,20,0,0.38,0.7525000000000001
STDP,1,20,1,0.38249999999999995,0.7437500000000001
STDP,1,20,2,0.39625,0.7525
STDP,1,20,3,0.38375000000000004,0.7462500000000001
STDP,1,20,4,0.385,0.75125
STDP,1,40,0,0.4125,0.7475
T_STDP,1,1,0,0.125,0.375
T_STDP,1,1,1,0.125,0.375
T_STDP,1,1,2,0.3775,0.74
T_STDP,1,1,3,0.3775,0.7462499999999999
T_STDP,1,1,4,0.125,0.375
T_STDP,1,1,5,0.125,0.375
T_STDP,1,1,6,0.125,0.375
T_STDP,1,1,7,0.125,0.375
T_STDP,1,1,8,0.125,0.375
T_STDP,1,1,9,0.125,0.375
T_STDP,1,2,0,0.12875,0.37875
T_STDP,1,2,1,0.37,0.7400000000000001
T_STDP,1,2,2,0.12875,0.37875
T_STDP,1,2,3,0.125,0.375
T_STDP,1,2,4,0.3662500000000001,0.74
T_STDP,1,2,5,0.38,0.7525
T_STDP,1,2,6,0.37124999999999997,0.74
T_STDP,1,2,7,0.36625,0.7412500000000001
T_STDP,1,2,8,0.36625,0.7412500000000001
T_STDP,1,2,9,0.135,0.385
T_STDP,1,5,0,0.3662500000000001,0.74
T_STDP,1,5,1,0.37875000000000003,0.75125
T_STDP,1,5,2,0.375,0.74875
T_STDP,1,5,3,0.37374999999999997,0.73875
T_STDP,1,5,4,0.3825,0.7499999999999999
T_STDP,1,5,5,0.36,0.7387500000000001
T_STDP,1,5,6,0.36375,0.74125
T_STDP,1,5,7,0.125,0.375
T_STDP,1,5,8,0.38,0.73875
T_STDP,1,5,9,0.36875,0.7424999999999999
T_STDP,1,10,0,0.3725,0.7462500000000001
T_STDP,1,10,1,0.38125,0.7412500000000001
