rule,rep,diagonal_accuracy,off_diagonal_accuracy,temporal_specificity,peak_accuracy
STDP,1,0.2638125,0.23670394736842104,0.027108552631578964,0.31125
STDP,2,0.2534375,0.2310723684210526,0.022365131578947373,0.305
STDP,3,0.2626875000000001,0.23814473684210527,0.024542763157894804,0.31
STDP,4,0.2776875,0.24255263157894733,0.03513486842105265,0.31999999999999995
STDP,5,0.27212499999999995,0.24045723684210527,0.031667763157894685,0.3175
STDP,6,0.26299999999999996,0.23350328947368426,0.029496710526315695,0.30624999999999997
STDP,7,0.27112499999999995,0.24051644736842104,0.03060855263157891,0.31625000000000003
STDP,8,0.27437500000000004,0.2456578947368421,0.028717105263157933,0.32375
STDP,9,0.2719375,0.24290131578947366,0.02903618421052634,0.33
STDP,10,0.2659375,0.23774342105263158,0.028194078947368417,0.31125
T_STDP,1,0.25631250000000005,0.23325657894736843,0.02305592105263163,0.3075
T_STDP,2,0.28875,0.23847039473684212,0.05027960526315789,0.335
T_STDP,3,0.26756250000000004,0.23316118421052628,0.03440131578947375,0.31625000000000003
T_STDP,4,0.2675,0.2341184210526316,0.03338157894736843,0.325
T_STDP,5,0.2816875,0.23171052631578948,0.0499769736842105,0.32
T_STDP,6,0.2544375,0.22437500000000002,0.030062499999999964,0.29874999999999996
T_STDP,7,0.2645,0.2378026315789474,0.02669736842105261,0.31625000000000003
T_STDP,8,0.279,0.2368947368421053,0.04210526315789473,0.33249999999999996
T_STDP,9,0.2648125,0.2396578947368421,0.02515460526315791,0.33124999999999993
T_STDP,10,0.26687500000000003,0.23439144736842105,0.03248355263157898,0.31875
SRDP,1,0.3091875,0.2228453947368421,0.08634210526315791,0.36
SRDP,2,0.3238125,0.21803618421052628,0.10577631578947372,0.38375
SRDP,3,0.3275,0.23643750000000002,0.09106249999999999,0.37625000000000003
SRDP,4,0.30825,0.2156809210526316,0.09256907894736843,0.37
SRDP,5,0.3200625,0.1962138157894737,0.12384868421052633,0.35750000000000004
SRDP,6,0.29568749999999994,0.22870394736842106,0.06698355263157887,0.37
SRDP,7,0.312125,0.24248026315789478,0.0696447368421052,0.3675
SRDP,8,0.315625,0.25098026315789473,0.06464473684210525,0.3725
SRDP,9,0.321875,0.22957565789473683,0.0922993421052632,0.36875
SRDP,10,0.325125,0.22107565789473685,0.10404934210526315,0.36375
