metric,comparison,mean_difference,ci95_low,ci95_high,wilcoxon_p,srdp_higher_reps,wilcoxon_p_holm
similarity_25ms,SRDP - STDP,-0.001620303229551401,-0.002204477388794422,-0.00103612907030838,0.001953125,0,0.01953125
similarity_25ms,SRDP - T_STDP,-0.0015002567699337055,-0.0020452621049806977,-0.0009552514348867133,0.001953125,0,0.01953125
similarity_100ms,SRDP - STDP,-0.012032786003383766,-0.018083059900364015,-0.005982512106403516,0.001953125,0,0.01953125
similarity_100ms,SRDP - T_STDP,-0.011467105447680804,-0.017341764382554928,-0.005592446512806679,0.001953125,0,0.01953125
similarity_250ms,SRDP - STDP,-0.057061215237463915,-0.09300911486610972,-0.02111331560881812,0.001953125,0,0.01953125
similarity_250ms,SRDP - T_STDP,-0.0557068722301182,-0.09131757242056737,-0.02009617203966902,0.001953125,0,0.01953125
trajectory_speed,SRDP - STDP,0.0016203032295513547,0.0010361290703082466,0.0022044773887944626,0.001953125,10,0.01953125
trajectory_speed,SRDP - T_STDP,0.0015002567699335901,0.0009552514348865855,0.002045262104980595,0.001953125,10,0.01953125
temporal_selectivity,SRDP - STDP,0.07490549298488898,0.038915813554046726,0.11089517241573124,0.001953125,10,0.01953125
temporal_selectivity,SRDP - T_STDP,0.0411971151519934,0.0024107820051435316,0.07998344829884327,0.02734375,8,0.02734375
halfmax_width_ms,SRDP - STDP,-84.49051954475993,-112.14751618539844,-56.83352290412142,0.001953125,0,0.01953125
halfmax_width_ms,SRDP - T_STDP,-64.46810025895748,-93.35368455917023,-35.58251595874473,0.001953125,0,0.01953125
peak_time_dispersion_ms,SRDP - STDP,22.20246525588083,2.469808328571972,41.93512218318969,0.064453125,8,0.09765625
peak_time_dispersion_ms,SRDP - T_STDP,35.481206642353555,19.50465284583814,51.45776043886897,0.00390625,9,0.01953125
mean_time_separation,SRDP - STDP,-0.06658053047709205,-0.13034150579889192,-0.0028195551552921694,0.048828125,2,0.09765625
mean_time_separation,SRDP - T_STDP,-0.19315828644836158,-0.2579372273774838,-0.12837934551923932,0.001953125,0,0.01953125
weight_norm_rate_r,SRDP - STDP,-0.23788396813249704,-0.3356276479742034,-0.14014028829079064,0.001953125,0,0.01953125
weight_norm_rate_r,SRDP - T_STDP,-0.21831989740676588,-0.3235996565742933,-0.11304013823923849,0.00390625,1,0.01953125
weight_norm_temporal_selectivity_r,SRDP - STDP,0.48384497048321384,0.1225772045045706,0.8451127364618571,0.02734375,7,0.08203125
weight_norm_temporal_selectivity_r,SRDP - T_STDP,0.7599690668996426,0.6539853467560913,0.8659527870431939,0.001953125,10,0.01953125
