rule,rep,window,time_ms,peak_fraction
STDP,1,0,12.5,0.0
STDP,1,1,37.5,0.006578947368421052
STDP,1,2,62.5,0.11842105263157894
STDP,1,3,87.5,0.125
STDP,1,4,112.5,0.013157894736842105
STDP,1,5,137.5,0.03289473684210526
STDP,1,6,162.5,0.15789473684210525
STDP,1,7,187.5,0.06578947368421052
STDP,1,8,212.5,0.06578947368421052
STDP,1,9,237.5,0.07236842105263158
STDP,1,10,262.5,0.17105263157894737
STDP,1,11,287.5,0.013157894736842105
STDP,1,12,312.5,0.0
STDP,1,13,337.5,0.046052631578947366
STDP,1,14,362.5,0.0
STDP,1,15,387.5,0.08552631578947369
STDP,1,16,412.5,0.013157894736842105
STDP,1,17,437.5,0.0
STDP,1,18,462.5,0.013157894736842105
STDP,1,19,487.5,0.0
T_STDP,1,0,12.5,0.0
T_STDP,1,1,37.5,0.007633587786259542
T_STDP,1,2,62.5,0.1984732824427481
T_STDP,1,3,87.5,0.183206106870229
T_STDP,1,4,112.5,0.022900763358778626
T_STDP,1,5,137.5,0.10687022900763359
T_STDP,1,6,162.5,0.2366412213740458
T_STDP,1,7,187.5,0.015267175572519083
T_STDP,1,8,212.5,0.061068702290076333
T_STDP,1,9,237.5,0.03816793893129771
T_STDP,1,10,262.5,0.0916030534351145
T_STDP,1,11,287.5,0.007633587786259542
T_STDP,1,12,312.5,0.0
T_STDP,1,13,337.5,0.007633587786259542
T_STDP,1,14,362.5,0.0
T_STDP,1,15,387.5,0.015267175572519083
T_STDP,1,16,412.5,0.007633587786259542
T_STDP,1,17,437.5,0.0
T_STDP,1,18,462.5,0.0
T_STDP,1,19,487.5,0.0
SRDP,1,0,12.5,0.0
SRDP,1,1,37.5,0.026041666666666668
SRDP,1,2,62.5,0.4635416666666667
SRDP,1,3,87.5,0.13541666666666666
SRDP,1,4,112.5,0.026041666666666668
SRDP,1,5,137.5,0.03125
SRDP,1,6,162.5,0.03125
SRDP,1,7,187.5,0.041666666666666664
SRDP,1,8,212.5,0.020833333333333332
SRDP,1,9,237.5,0.005208333333333333
SRDP,1,10,262.5,0.08333333333333333
SRDP,1,11,287.5,0.0
SRDP,1,12,312.5,0.020833333333333332
SRDP,1,13,337.5,0.0
SRDP,1,14,362.5,0.015625
SRDP,1,15,387.5,0.03125
SRDP,1,16,412.5,0.0
SRDP,1,17,437.5,0.015625
SRDP,1,18,462.5,0.020833333333333332
SRDP,1,19,487.5,0.03125
STDP,2,0,12.5,0.0
STDP,2,1,37.5,0.0
STDP,2,2,62.5,0.11917098445595854
STDP,2,3,87.5,0.08808290155440414
STDP,2,4,112.5,0.10880829015544041
STDP,2,5,137.5,0.09844559585492228
STDP,2,6,162.5,0.14507772020725387
STDP,2,7,187.5,0.17616580310880828
STDP,2,8,212.5,0.09844559585492228
STDP,2,9,237.5,0.03626943005181347
STDP,2,10,262.5,0.0051813471502590676
STDP,2,11,287.5,0.03626943005181347
STDP,2,12,312.5,0.0
STDP,2,13,337.5,0.0
STDP,2,14,362.5,0.0
STDP,2,15,387.5,0.07772020725388601
STDP,2,16,412.5,0.0051813471502590676
STDP,2,17,437.5,0.0
STDP,2,18,462.5,0.0051813471502590676
STDP,2,19,487.5,0.0
T_STDP,2,0,12.5,0.0
T_STDP,2,1,37.5,0.006578947368421052
T_STDP,2,2,62.5,0.14473684210526316
T_STDP,2,3,87.5,0.18421052631578946
T_STDP,2,4,112.5,0.17763157894736842
T_STDP,2,5,137.5,0.19736842105263158
T_STDP,2,6,162.5,0.09868421052631579
T_STDP,2,7,187.5,0.125
T_STDP,2,8,212.5,0.02631578947368421
T_STDP,2,9,237.5,0.0
T_STDP,2,10,262.5,0.0
T_STDP,2,11,287.5,0.006578947368421052
T_STDP,2,12,312.5,0.0
T_STDP,2,13,337.5,0.0
T_STDP,2,14,362.5,0.0
T_STDP,2,15,387.5,0.006578947368421052
T_STDP,2,16,412.5,0.0
T_STDP,2,17,437.5,0.0
T_STDP,2,18,462.5,0.006578947368421052
T_STDP,2,19,487.5,0.019736842105263157
SRDP,2,0,12.5,0.0
SRDP,2,1,37.5,0.055
SRDP,2,2,62.5,0.32
SRDP,2,3,87.5,0.23
SRDP,2,4,112.5,0.065
SRDP,2,5,137.5,0.065
SRDP,2,6,162.5,0.03
SRDP,2,7,187.5,0.09
SRDP,2,8,212.5,0.005
SRDP,2,9,237.5,0.0
SRDP,2,10,262.5,0.01
SRDP,2,11,287.5,0.01
SRDP,2,12,312.5,0.02
SRDP,2,13,337.5,0.01
SRDP,2,14,362.5,0.0
SRDP,2,15,387.5,0.02
SRDP,2,16,412.5,0.005
SRDP,2,17,437.5,0.015
SRDP,2,18,462.5,0.015
SRDP,2,19,487.5,0.035
STDP,3,0,12.5,0.0
STDP,3,1,37.5,0.0
STDP,3,2,62.5,0.11695906432748537
STDP,3,3,87.5,0.017543859649122806
STDP,3,4,112.5,0.07017543859649122
STDP,3,5,137.5,0.11695906432748537
STDP,3,6,162.5,0.2222222222222222
STDP,3,7,187.5,0.16374269005847952
STDP,3,8,212.5,0.029239766081871343
STDP,3,9,237.5,0.15204678362573099
STDP,3,10,262.5,0.05847953216374269
STDP,3,11,287.5,0.011695906432748537
STDP,3,12,312.5,0.011695906432748537
STDP,3,13,337.5,0.011695906432748537
STDP,3,14,362.5,0.0
STDP,3,15,387.5,0.005847953216374269
STDP,3,16,412.5,0.005847953216374269
STDP,3,17,437.5,0.0
STDP,3,18,462.5,0.005847953216374269
STDP,3,19,487.5,0.0
T_STDP,3,0,12.5,0.0
T_STDP,3,1,37.5,0.0
T_STDP,3,2,62.5,0.11564625850340136
T_STDP,3,3,87.5,0.061224489795918366
T_STDP,3,4,112.5,0.10884353741496598
T_STDP,3,5,137.5,0.10884353741496598
T_STDP,3,6,162.5,0.2857142857142857
T_STDP,3,7,187.5,0.1360544217687075
T_STDP,3,8,212.5,0.0
T_STDP,3,9,237.5,0.1360544217687075
T_STDP,3,10,262.5,0.027210884353741496
T_STDP,3,11,287.5,0.0
T_STDP,3,12,312.5,0.0
T_STDP,3,13,337.5,0.0
T_STDP,3,14,362.5,0.0
T_STDP,3,15,387.5,0.006802721088435374
T_STDP,3,16,412.5,0.0
T_STDP,3,17,437.5,0.0
T_STDP,3,18,462.5,0.006802721088435374
T_STDP,3,19,487.5,0.006802721088435374
SRDP,3,0,12.5,0.0
SRDP,3,1,37.5,0.07303370786516854
SRDP,3,2,62.5,0.3539325842696629
SRDP,3,3,87.5,0.12921348314606743
SRDP,3,4,112.5,0.0449438202247191
SRDP,3,5,137.5,0.0449438202247191
SRDP,3,6,162.5,0.028089887640449437
SRDP,3,7,187.5,0.07303370786516854
SRDP,3,8,212.5,0.016853932584269662
SRDP,3,9,237.5,0.0449438202247191
SRDP,3,10,262.5,0.0449438202247191
SRDP,3,11,287.5,0.011235955056179775
SRDP,3,12,312.5,0.02247191011235955
SRDP,3,13,337.5,0.011235955056179775
SRDP,3,14,362.5,0.0056179775280898875
SRDP,3,15,387.5,0.028089887640449437
SRDP,3,16,412.5,0.0056179775280898875
SRDP,3,17,437.5,0.0
SRDP,3,18,462.5,0.0056179775280898875
SRDP,3,19,487.5,0.056179775280898875
STDP,4,0,12.5,0.0
STDP,4,1,37.5,0.0
STDP,4,2,62.5,0.1306532663316583
STDP,4,3,87.5,0.08040201005025126
STDP,4,4,112.5,0.17587939698492464
STDP,4,5,137.5,0.19095477386934673
STDP,4,6,162.5,0.22613065326633167
STDP,4,7,187.5,0.12562814070351758
STDP,4,8,212.5,0.005025125628140704
STDP,4,9,237.5,0.020100502512562814
STDP,4,10,262.5,0.0
STDP,4,11,287.5,0.0
STDP,4,12,312.5,0.0
STDP,4,13,337.5,0.02512562814070352
STDP,4,14,362.5,0.010050251256281407
STDP,4,15,387.5,0.005025125628140704
STDP,4,16,412.5,0.0
STDP,4,17,437.5,0.0
STDP,4,18,462.5,0.0
STDP,4,19,487.5,0.005025125628140704
T_STDP,4,0,12.5,0.0
T_STDP,4,1,37.5,0.005405405405405406
T_STDP,4,2,62.5,0.14594594594594595
T_STDP,4,3,87.5,0.1783783783783784
T_STDP,4,4,112.5,0.2
T_STDP,4,5,137.5,0.17297297297297298
T_STDP,4,6,162.5,0.15135135135135136
T_STDP,4,7,187.5,0.11351351351351352
T_STDP,4,8,212.5,0.0
T_STDP,4,9,237.5,0.0
T_STDP,4,10,262.5,0.010810810810810811
T_STDP,4,11,287.5,0.0
T_STDP,4,12,312.5,0.0
T_STDP,4,13,337.5,0.005405405405405406
T_STDP,4,14,362.5,0.005405405405405406
T_STDP,4,15,387.5,0.005405405405405406
T_STDP,4,16,412.5,0.0
T_STDP,4,17,437.5,0.0
T_STDP,4,18,462.5,0.0
T_STDP,4,19,487.5,0.005405405405405406
SRDP,4,0,12.5,0.0
SRDP,4,1,37.5,0.1715686274509804
SRDP,4,2,62.5,0.21568627450980393
SRDP,4,3,87.5,0.20588235294117646
SRDP,4,4,112.5,0.16666666666666666
SRDP,4,5,137.5,0.024509803921568627
SRDP,4,6,162.5,0.058823529411764705
SRDP,4,7,187.5,0.10784313725490197
SRDP,4,8,212.5,0.0
SRDP,4,9,237.5,0.0
SRDP,4,10,262.5,0.004901960784313725
SRDP,4,11,287.5,0.0
SRDP,4,12,312.5,0.0
SRDP,4,13,337.5,0.004901960784313725
SRDP,4,14,362.5,0.004901960784313725
SRDP,4,15,387.5,0.004901960784313725
SRDP,4,16,412.5,0.0
SRDP,4,17,437.5,0.0
SRDP,4,18,462.5,0.004901960784313725
SRDP,4,19,487.5,0.024509803921568627
STDP,5,0,12.5,0.0
STDP,5,1,37.5,0.0
STDP,5,2,62.5,0.11931818181818182
STDP,5,3,87.5,0.045454545454545456
STDP,5,4,112.5,0.23295454545454544
STDP,5,5,137.5,0.125
STDP,5,6,162.5,0.2159090909090909
STDP,5,7,187.5,0.09090909090909091
STDP,5,8,212.5,0.0625
STDP,5,9,237.5,0.06818181818181818
STDP,5,10,262.5,0.0
STDP,5,11,287.5,0.005681818181818182
STDP,5,12,312.5,0.005681818181818182
STDP,5,13,337.5,0.0
STDP,5,14,362.5,0.005681818181818182
STDP,5,15,387.5,0.017045454545454544
STDP,5,16,412.5,0.005681818181818182
STDP,5,17,437.5,0.0
STDP,5,18,462.5,0.0
STDP,5,19,487.5,0.0
T_STDP,5,0,12.5,0.0
T_STDP,5,1,37.5,0.0
T_STDP,5,2,62.5,0.14201183431952663
T_STDP,5,3,87.5,0.1893491124260355
T_STDP,5,4,112.5,0.3076923076923077
T_STDP,5,5,137.5,0.1242603550295858
T_STDP,5,6,162.5,0.16568047337278108
T_STDP,5,7,187.5,0.03550295857988166
T_STDP,5,8,212.5,0.005917159763313609
T_STDP,5,9,237.5,0.005917159763313609
T_STDP,5,10,262.5,0.0
T_STDP,5,11,287.5,0.0
T_STDP,5,12,312.5,0.0
T_STDP,5,13,337.5,0.005917159763313609
T_STDP,5,14,362.5,0.005917159763313609
T_STDP,5,15,387.5,0.0
T_STDP,5,16,412.5,0.005917159763313609
T_STDP,5,17,437.5,0.005917159763313609
T_STDP,5,18,462.5,0.0
T_STDP,5,19,487.5,0.0
SRDP,5,0,12.5,0.0
SRDP,5,1,37.5,0.06818181818181818
SRDP,5,2,62.5,0.4943181818181818
SRDP,5,3,87.5,0.19886363636363635
SRDP,5,4,112.5,0.07386363636363637
SRDP,5,5,137.5,0.011363636363636364
SRDP,5,6,162.5,0.022727272727272728
SRDP,5,7,187.5,0.005681818181818182
SRDP,5,8,212.5,0.0
SRDP,5,9,237.5,0.0
SRDP,5,10,262.5,0.005681818181818182
SRDP,5,11,287.5,0.0
SRDP,5,12,312.5,0.005681818181818182
SRDP,5,13,337.5,0.022727272727272728
SRDP,5,14,362.5,0.0
SRDP,5,15,387.5,0.022727272727272728
SRDP,5,16,412.5,0.0
SRDP,5,17,437.5,0.011363636363636364
SRDP,5,18,462.5,0.017045454545454544
SRDP,5,19,487.5,0.03977272727272727
STDP,6,0,12.5,0.0
