rule,rep,lag_windows,lag_ms,same_class_cosine_similarity
STDP,1,0,0,1.0
STDP,1,1,25,0.9998494963066079
STDP,1,2,50,0.9997982859545252
STDP,1,3,75,0.9997807037332133
STDP,1,4,100,0.9997764670674743
STDP,1,5,125,0.9997490330428002
STDP,1,6,150,0.9997159237694472
STDP,1,7,175,0.9997044189619259
STDP,1,8,200,0.9996794178739172
STDP,1,9,225,0.9996421104808175
STDP,1,10,250,0.9996072030322353
STDP,1,11,275,0.9995784693071516
STDP,1,12,300,0.9995366401222532
STDP,1,13,325,0.9994776831695755
STDP,1,14,350,0.99938480882892
STDP,1,15,375,0.99927643108871
STDP,1,16,400,0.999139523303874
STDP,1,17,425,0.9989180928623277
STDP,1,18,450,0.9983752944436854
STDP,1,19,475,0.9969237602757122
T_STDP,1,0,0,1.0
T_STDP,1,1,25,0.9997998616440441
T_STDP,1,2,50,0.9996971416605701
T_STDP,1,3,75,0.9996297958233576
T_STDP,1,4,100,0.9995635368305228
T_STDP,1,5,125,0.9994556298616601
T_STDP,1,6,150,0.9993226368976733
T_STDP,1,7,175,0.9991982440729856
T_STDP,1,8,200,0.9990782342861374
T_STDP,1,9,225,0.9989218973244973
T_STDP,1,10,250,0.9987458708851005
T_STDP,1,11,275,0.9985470422522541
T_STDP,1,12,300,0.9983667687256074
T_STDP,1,13,325,0.9981683583005381
T_STDP,1,14,350,0.9979179423402562
T_STDP,1,15,375,0.9976202586629153
T_STDP,1,16,400,0.997217421457471
T_STDP,1,17,425,0.9968108135546472
T_STDP,1,18,450,0.9962597417694405
T_STDP,1,19,475,0.9948844307573885
SRDP,1,0,0,1.0
SRDP,1,1,25,0.9986437700075834
SRDP,1,2,50,0.996524325109563
SRDP,1,3,75,0.9934382455474643
SRDP,1,4,100,0.9893978027646306
SRDP,1,5,125,0.9843434037239301
SRDP,1,6,150,0.9779510188182599
SRDP,1,7,175,0.9703380950510596
SRDP,1,8,200,0.9618231468185616
SRDP,1,9,225,0.9526713314949266
