rule,rep,window,time_ms,between_within_separation
STDP,1,0,12.5,0.4504076424298338
STDP,1,1,37.5,0.529411937314424
STDP,1,2,62.5,0.4665736319841933
STDP,1,3,87.5,0.5631583142844542
STDP,1,4,112.5,0.677730354795167
STDP,1,5,137.5,0.5920903424068511
STDP,1,6,162.5,0.5821987847587842
STDP,1,7,187.5,0.5849877986794652
STDP,1,8,212.5,0.6822319432912661
STDP,1,9,237.5,0.5883472814173816
STDP,1,10,262.5,0.49345291712539235
STDP,1,11,287.5,0.6197028881283169
STDP,1,12,312.5,0.5840482537052091
STDP,1,13,337.5,0.5743136534576272
STDP,1,14,362.5,0.4885789980890249
STDP,1,15,387.5,0.46704606413103206
STDP,1,16,412.5,0.5624338835903797
STDP,1,17,437.5,0.6564446643071832
STDP,1,18,462.5,0.508174810538536
STDP,1,19,487.5,0.4703718545667335
T_STDP,1,0,12.5,0.45420621121465143
T_STDP,1,1,37.5,0.5997403327686657
T_STDP,1,2,62.5,0.6578943224908385
T_STDP,1,3,87.5,0.7649325683835555
T_STDP,1,4,112.5,0.8506004072879851
T_STDP,1,5,137.5,0.7519533362576768
T_STDP,1,6,162.5,0.7833020109399282
T_STDP,1,7,187.5,0.7531114946748657
T_STDP,1,8,212.5,0.7858436116533039
T_STDP,1,9,237.5,0.7050719768456973
T_STDP,1,10,262.5,0.6210746585712981
T_STDP,1,11,287.5,0.7444811201651905
T_STDP,1,12,312.5,0.6977767675942703
T_STDP,1,13,337.5,0.704738591184246
T_STDP,1,14,362.5,0.5836880296997319
T_STDP,1,15,387.5,0.5457651681976637
T_STDP,1,16,412.5,0.6733999540092509
T_STDP,1,17,437.5,0.7860836878054233
T_STDP,1,18,462.5,0.5670054287472496
T_STDP,1,19,487.5,0.5442862828149899
SRDP,1,0,12.5,0.4388477883638478
SRDP,1,1,37.5,0.6918644648181059
SRDP,1,2,62.5,0.6875770821457547
SRDP,1,3,87.5,0.6235930006701139
SRDP,1,4,112.5,0.5667104375823573
SRDP,1,5,137.5,0.4566251838394186
SRDP,1,6,162.5,0.33885766054857763
SRDP,1,7,187.5,0.28490599802270045
SRDP,1,8,212.5,0.299363001760749
SRDP,1,9,237.5,0.2684502977465616
SRDP,1,10,262.5,0.280100659281069
SRDP,1,11,287.5,0.28773461732985645
SRDP,1,12,312.5,0.3035055681822623
SRDP,1,13,337.5,0.34793296915371186
SRDP,1,14,362.5,0.38413274999593555
SRDP,1,15,387.5,0.3529554688468929
SRDP,1,16,412.5,0.3135384667263198
SRDP,1,17,437.5,0.35440063568739744
SRDP,1,18,462.5,0.34673567620241696
SRDP,1,19,487.5,0.3546734418144748
STDP,2,0,12.5,0.46165278602819243
STDP,2,1,37.5,0.4275850285900896
STDP,2,2,62.5,0.5286258301368248
STDP,2,3,87.5,0.5919706028911195
STDP,2,4,112.5,0.5726126885664232
STDP,2,5,137.5,0.5017851203831807
STDP,2,6,162.5,0.42647353786408093
STDP,2,7,187.5,0.4708652656987384
STDP,2,8,212.5,0.5496246717359597
STDP,2,9,237.5,0.5270346185361796
STDP,2,10,262.5,0.41430937364900955
