rule,rep,window,start_ms,end_ms,accuracy8
STDP,1,0,0,25,0.22875
STDP,1,1,25,50,0.27625
STDP,1,2,50,75,0.26
STDP,1,3,75,100,0.24
STDP,1,4,100,125,0.24500000000000002
STDP,1,5,125,150,0.2525
STDP,1,6,150,175,0.27999999999999997
STDP,1,7,175,200,0.255
STDP,1,8,200,225,0.27625
STDP,1,9,225,250,0.27999999999999997
STDP,1,10,250,275,0.26375000000000004
STDP,1,11,275,300,0.255
STDP,1,12,300,325,0.28500000000000003
STDP,1,13,325,350,0.27375
STDP,1,14,350,375,0.28
STDP,1,15,375,400,0.24
STDP,1,16,400,425,0.28250000000000003
STDP,1,17,425,450,0.31125
STDP,1,18,450,475,0.24500000000000002
STDP,1,19,475,500,0.24625
T_STDP,1,0,0,25,0.22374999999999998
T_STDP,1,1,25,50,0.26375
T_STDP,1,2,50,75,0.24749999999999997
T_STDP,1,3,75,100,0.24624999999999994
T_STDP,1,4,100,125,0.27874999999999994
T_STDP,1,5,125,150,0.26125
T_STDP,1,6,150,175,0.265
T_STDP,1,7,175,200,0.27875
T_STDP,1,8,200,225,0.23875000000000002
T_STDP,1,9,225,250,0.27499999999999997
T_STDP,1,10,250,275,0.25125
T_STDP,1,11,275,300,0.2475
T_STDP,1,12,300,325,0.26749999999999996
T_STDP,1,13,325,350,0.2625
T_STDP,1,14,350,375,0.25875
T_STDP,1,15,375,400,0.23500000000000001
T_STDP,1,16,400,425,0.25749999999999995
T_STDP,1,17,425,450,0.2825
T_STDP,1,18,450,475,0.24125000000000002
T_STDP,1,19,475,500,0.24375
SRDP,1,0,0,25,0.22875
SRDP,1,1,25,50,0.28875
SRDP,1,2,50,75,0.2975
SRDP,1,3,75,100,0.3075
SRDP,1,4,100,125,0.36
SRDP,1,5,125,150,0.32875
SRDP,1,6,150,175,0.31875
SRDP,1,7,175,200,0.30750000000000005
SRDP,1,8,200,225,0.30625
SRDP,1,9,225,250,0.295
SRDP,1,10,250,275,0.29250000000000004
SRDP,1,11,275,300,0.31500000000000006
SRDP,1,12,300,325,0.31375
SRDP,1,13,325,350,0.34625
SRDP,1,14,350,375,0.3237499999999999
SRDP,1,15,375,400,0.29500000000000004
SRDP,1,16,400,425,0.3175
SRDP,1,17,425,450,0.32
SRDP,1,18,450,475,0.3075
SRDP,1,19,475,500,0.31375000000000003
STDP,2,0,0,25,0.25625
STDP,2,1,25,50,0.23625000000000002
STDP,2,2,50,75,0.265
STDP,2,3,75,100,0.25625000000000003
STDP,2,4,100,125,0.24625000000000002
STDP,2,5,125,150,0.26125
STDP,2,6,150,175,0.25875
STDP,2,7,175,200,0.25
STDP,2,8,200,225,0.26249999999999996
STDP,2,9,225,250,0.26625
STDP,2,10,250,275,0.25375000000000003
STDP,2,11,275,300,0.25625
STDP,2,12,300,325,0.25999999999999995
STDP,2,13,325,350,0.25250000000000006
STDP,2,14,350,375,0.23499999999999996
STDP,2,15,375,400,0.2475
STDP,2,16,400,425,0.2625
STDP,2,17,425,450,0.24000000000000005
STDP,2,18,450,475,0.2375
STDP,2,19,475,500,0.265
T_STDP,2,0,0,25,0.2525
T_STDP,2,1,25,50,0.26625
T_STDP,2,2,50,75,0.29124999999999995
T_STDP,2,3,75,100,0.3075
T_STDP,2,4,100,125,0.31875
T_STDP,2,5,125,150,0.29625
T_STDP,2,6,150,175,0.3025
T_STDP,2,7,175,200,0.30125
T_STDP,2,8,200,225,0.335
T_STDP,2,9,225,250,0.3037500000000001
T_STDP,2,10,250,275,0.3
T_STDP,2,11,275,300,0.3125
T_STDP,2,12,300,325,0.27749999999999997
T_STDP,2,13,325,350,0.27875
T_STDP,2,14,350,375,0.26
T_STDP,2,15,375,400,0.30125
T_STDP,2,16,400,425,0.29125
T_STDP,2,17,425,450,0.28875
T_STDP,2,18,450,475,0.2325
T_STDP,2,19,475,500,0.25749999999999995
SRDP,2,0,0,25,0.25
SRDP,2,1,25,50,0.26999999999999996
SRDP,2,2,50,75,0.34750000000000003
SRDP,2,3,75,100,0.30124999999999996
SRDP,2,4,100,125,0.34625000000000006
SRDP,2,5,125,150,0.32500000000000007
SRDP,2,6,150,175,0.31875
SRDP,2,7,175,200,0.32999999999999996
SRDP,2,8,200,225,0.33
SRDP,2,9,225,250,0.32624999999999993
SRDP,2,10,250,275,0.31250000000000006
SRDP,2,11,275,300,0.34750000000000003
SRDP,2,12,300,325,0.3425
SRDP,2,13,325,350,0.32375
SRDP,2,14,350,375,0.325
SRDP,2,15,375,400,0.38375
SRDP,2,16,400,425,0.3225
SRDP,2,17,425,450,0.33875
SRDP,2,18,450,475,0.32125
SRDP,2,19,475,500,0.31375000000000003
STDP,3,0,0,25,0.2325
STDP,3,1,25,50,0.265
STDP,3,2,50,75,0.265
STDP,3,3,75,100,0.24125000000000002
STDP,3,4,100,125,0.2875
STDP,3,5,125,150,0.25875000000000004
STDP,3,6,150,175,0.26125
STDP,3,7,175,200,0.265
STDP,3,8,200,225,0.2625
STDP,3,9,225,250,0.27749999999999997
STDP,3,10,250,275,0.26625000000000004
STDP,3,11,275,300,0.27625
STDP,3,12,300,325,0.28500000000000003
STDP,3,13,325,350,0.27125
STDP,3,14,350,375,0.255
STDP,3,15,375,400,0.26374999999999993
STDP,3,16,400,425,0.26625
STDP,3,17,425,450,0.26625
STDP,3,18,450,475,0.23125
STDP,3,19,475,500,0.25625
T_STDP,3,0,0,25,0.23249999999999998
T_STDP,3,1,25,50,0.26625
T_STDP,3,2,50,75,0.265
T_STDP,3,3,75,100,0.26999999999999996
T_STDP,3,4,100,125,0.27999999999999997
T_STDP,3,5,125,150,0.28875
T_STDP,3,6,150,175,0.24999999999999994
T_STDP,3,7,175,200,0.26375000000000004
T_STDP,3,8,200,225,0.27999999999999997
T_STDP,3,9,225,250,0.29999999999999993
T_STDP,3,10,250,275,0.24
T_STDP,3,11,275,300,0.25
T_STDP,3,12,300,325,0.26625
T_STDP,3,13,325,350,0.30875
T_STDP,3,14,350,375,0.25625
T_STDP,3,15,375,400,0.27749999999999997
T_STDP,3,16,400,425,0.27749999999999997
T_STDP,3,17,425,450,0.27125000000000005
T_STDP,3,18,450,475,0.24125000000000002
T_STDP,3,19,475,500,0.26625
SRDP,3,0,0,25,0.2225
SRDP,3,1,25,50,0.2975
SRDP,3,2,50,75,0.33375000000000005
SRDP,3,3,75,100,0.335
SRDP,3,4,100,125,0.36875
SRDP,3,5,125,150,0.36374999999999996
SRDP,3,6,150,175,0.3275
SRDP,3,7,175,200,0.32375000000000004
SRDP,3,8,200,225,0.33125000000000004
SRDP,3,9,225,250,0.33375000000000005
SRDP,3,10,250,275,0.29125
SRDP,3,11,275,300,0.30624999999999997
SRDP,3,12,300,325,0.33499999999999996
SRDP,3,13,325,350,0.36750000000000005
SRDP,3,14,350,375,0.33
SRDP,3,15,375,400,0.36625
SRDP,3,16,400,425,0.33625
SRDP,3,17,425,450,0.33749999999999997
SRDP,3,18,450,475,0.29500000000000004
SRDP,3,19,475,500,0.34750000000000003
STDP,4,0,0,25,0.21625
STDP,4,1,25,50,0.2875
STDP,4,2,50,75,0.29625
STDP,4,3,75,100,0.27875
STDP,4,4,100,125,0.31625
STDP,4,5,125,150,0.29625
STDP,4,6,150,175,0.28625
STDP,4,7,175,200,0.27875
STDP,4,8,200,225,0.25250000000000006
STDP,4,9,225,250,0.2725
STDP,4,10,250,275,0.265
STDP,4,11,275,300,0.3012499999999999
STDP,4,12,300,325,0.3075
STDP,4,13,325,350,0.2975
STDP,4,14,350,375,0.29125000000000006
STDP,4,15,375,400,0.27375000000000005
STDP,4,16,400,425,0.22875
STDP,4,17,425,450,0.305
STDP,4,18,450,475,0.25375000000000003
STDP,4,19,475,500,0.24874999999999997
T_STDP,4,0,0,25,0.22375000000000003
T_STDP,4,1,25,50,0.29750000000000004
T_STDP,4,2,50,75,0.27125
T_STDP,4,3,75,100,0.27749999999999997
T_STDP,4,4,100,125,0.3
T_STDP,4,5,125,150,0.26375
T_STDP,4,6,150,175,0.2725
T_STDP,4,7,175,200,0.26875
T_STDP,4,8,200,225,0.26125
T_STDP,4,9,225,250,0.27375
T_STDP,4,10,250,275,0.26125000000000004
T_STDP,4,11,275,300,0.275
T_STDP,4,12,300,325,0.29500000000000004
T_STDP,4,13,325,350,0.28125
T_STDP,4,14,350,375,0.26875
T_STDP,4,15,375,400,0.27375
T_STDP,4,16,400,425,0.23500000000000004
T_STDP,4,17,425,450,0.285
T_STDP,4,18,450,475,0.24874999999999997
T_STDP,4,19,475,500,0.21624999999999997
SRDP,4,0,0,25,0.22875000000000006
SRDP,4,1,25,50,0.33125000000000004
SRDP,4,2,50,75,0.33
SRDP,4,3,75,100,0.30374999999999996
SRDP,4,4,100,125,0.37
SRDP,4,5,125,150,0.34249999999999997
SRDP,4,6,150,175,0.30874999999999997
SRDP,4,7,175,200,0.30500000000000005
SRDP,4,8,200,225,0.32625
SRDP,4,9,225,250,0.3212499999999999
SRDP,4,10,250,275,0.28625
SRDP,4,11,275,300,0.29625
SRDP,4,12,300,325,0.3125
SRDP,4,13,325,350,0.35625
SRDP,4,14,350,375,0.295
SRDP,4,15,375,400,0.32
SRDP,4,16,400,425,0.26125000000000004
SRDP,4,17,425,450,0.29875
SRDP,4,18,450,475,0.28374999999999995
SRDP,4,19,475,500,0.2875
STDP,5,0,0,25,0.24125000000000002
STDP,5,1,25,50,0.26625
STDP,5,2,50,75,0.31375
STDP,5,3,75,100,0.23125
STDP,5,4,100,125,0.27875
STDP,5,5,125,150,0.29374999999999996
STDP,5,6,150,175,0.25875000000000004
STDP,5,7,175,200,0.31
STDP,5,8,200,225,0.26999999999999996
STDP,5,9,225,250,0.26875
STDP,5,10,250,275,0.2525
STDP,5,11,275,300,0.24500000000000005
STDP,5,12,300,325,0.29250000000000004
STDP,5,13,325,350,0.29375
STDP,5,14,350,375,0.275
STDP,5,15,375,400,0.25250000000000006
STDP,5,16,400,425,0.27749999999999997
STDP,5,17,425,450,0.31375000000000003
STDP,5,18,450,475,0.25625
STDP,5,19,475,500,0.25125000000000003
T_STDP,5,0,0,25,0.24125000000000002
T_STDP,5,1,25,50,0.27375
T_STDP,5,2,50,75,0.29625
T_STDP,5,3,75,100,0.2800000000000001
T_STDP,5,4,100,125,0.32
T_STDP,5,5,125,150,0.29374999999999996
T_STDP,5,6,150,175,0.26625
T_STDP,5,7,175,200,0.31625000000000003
T_STDP,5,8,200,225,0.29125
T_STDP,5,9,225,250,0.28625
T_STDP,5,10,250,275,0.255
T_STDP,5,11,275,300,0.24625
T_STDP,5,12,300,325,0.27625
T_STDP,5,13,325,350,0.27125000000000005
T_STDP,5,14,350,375,0.26749999999999996
T_STDP,5,15,375,400,0.3025
T_STDP,5,16,400,425,0.28124999999999994
T_STDP,5,17,425,450,0.30125
T_STDP,5,18,450,475,0.27875
T_STDP,5,19,475,500,0.28875
SRDP,5,0,0,25,0.24750000000000005
SRDP,5,1,25,50,0.28874999999999995
SRDP,5,2,50,75,0.31125
SRDP,5,3,75,100,0.32375
SRDP,5,4,100,125,0.34750000000000003
SRDP,5,5,125,150,0.31875000000000003
SRDP,5,6,150,175,0.32875
SRDP,5,7,175,200,0.3375
SRDP,5,8,200,225,0.31625000000000003
SRDP,5,9,225,250,0.32
SRDP,5,10,250,275,0.2975
SRDP,5,11,275,300,0.2975
SRDP,5,12,300,325,0.34375
SRDP,5,13,325,350,0.35
SRDP,5,14,350,375,0.32875
SRDP,5,15,375,400,0.3524999999999999
SRDP,5,16,400,425,0.33875
SRDP,5,17,425,450,0.34625000000000006
SRDP,5,18,450,475,0.295
SRDP,5,19,475,500,0.31124999999999997
STDP,6,0,0,25,0.23749999999999996
STDP,6,1,25,50,0.27125000000000005
STDP,6,2,50,75,0.2875
STDP,6,3,75,100,0.21125
STDP,6,4,100,125,0.25749999999999995
STDP,6,5,125,150,0.27875
STDP,6,6,150,175,0.255
STDP,6,7,175,200,0.24250000000000002
STDP,6,8,200,225,0.27249999999999996
STDP,6,9,225,250,0.29374999999999996
STDP,6,10,250,275,0.24625
STDP,6,11,275,300,0.28625
STDP,6,12,300,325,0.27999999999999997
STDP,6,13,325,350,0.25875
STDP,6,14,350,375,0.2875
STDP,6,15,375,400,0.27249999999999996
STDP,6,16,400,425,0.24250000000000002
STDP,6,17,425,450,0.26875
STDP,6,18,450,475,0.24500000000000002
STDP,6,19,475,500,0.265
T_STDP,6,0,0,25,0.23875000000000002
T_STDP,6,1,25,50,0.2625
T_STDP,6,2,50,75,0.25125
T_STDP,6,3,75,100,0.21000000000000005
T_STDP,6,4,100,125,0.265
T_STDP,6,5,125,150,0.2675
T_STDP,6,6,150,175,0.25375000000000003
T_STDP,6,7,175,200,0.2575
T_STDP,6,8,200,225,0.2825
T_STDP,6,9,225,250,0.28125000000000006
T_STDP,6,10,250,275,0.24250000000000002
T_STDP,6,11,275,300,0.24874999999999997
T_STDP,6,12,300,325,0.26625
T_STDP,6,13,325,350,0.295
T_STDP,6,14,350,375,0.26375000000000004
T_STDP,6,15,375,400,0.24750000000000005
T_STDP,6,16,400,425,0.24250000000000002
T_STDP,6,17,425,450,0.2475
T_STDP,6,18,450,475,0.25375
T_STDP,6,19,475,500,0.21125
SRDP,6,0,0,25,0.24125000000000002
SRDP,6,1,25,50,0.285
SRDP,6,2,50,75,0.3075
SRDP,6,3,75,100,0.3075
SRDP,6,4,100,125,0.33
SRDP,6,5,125,150,0.37
SRDP,6,6,150,175,0.31625
SRDP,6,7,175,200,0.3025
SRDP,6,8,200,225,0.31125
SRDP,6,9,225,250,0.28875
SRDP,6,10,250,275,0.27
SRDP,6,11,275,300,0.3025
SRDP,6,12,300,325,0.2875
SRDP,6,13,325,350,0.28
SRDP,6,14,350,375,0.26875
SRDP,6,15,375,400,0.2875
SRDP,6,16,400,425,0.2775
SRDP,6,17,425,450,0.31875
SRDP,6,18,450,475,0.27375
SRDP,6,19,475,500,0.2875
STDP,7,0,0,25,0.24625000000000002
STDP,7,1,25,50,0.26375000000000004
STDP,7,2,50,75,0.27375000000000005
STDP,7,3,75,100,0.27
STDP,7,4,100,125,0.29375
STDP,7,5,125,150,0.2587499999999999
STDP,7,6,150,175,0.27125
STDP,7,7,175,200,0.27999999999999997
STDP,7,8,200,225,0.28250000000000003
STDP,7,9,225,250,0.29
STDP,7,10,250,275,0.26874999999999993
STDP,7,11,275,300,0.27749999999999997
STDP,7,12,300,325,0.265
STDP,7,13,325,350,0.29374999999999996
STDP,7,14,350,375,0.2825
STDP,7,15,375,400,0.275
STDP,7,16,400,425,0.27249999999999996
STDP,7,17,425,450,0.2475
STDP,7,18,450,475,0.2475
STDP,7,19,475,500,0.2625
T_STDP,7,0,0,25,0.24624999999999994
T_STDP,7,1,25,50,0.265
