rule,rep,n_connections,final_mean,final_std,final_abs_mean,delta_mean,delta_abs_mean,potentiated_fraction,depressed_fraction,unchanged_fraction,near_zero_fraction,upper_saturation_fraction,lower_saturation_fraction,positive_fraction
STDP,1,19819,0.002248608588457008,0.07223715801827343,0.02499499213465132,0.0018015317022853613,0.05682291598886304,0.486704677329835,0.513295322670165,0.0,0.589434381149402,0.002976941318936374,0.0,0.22160553004692468
T_STDP,1,19819,0.0006195889015448898,0.05917270777036572,0.023365587678278756,0.00017251201537324255,0.05519234836233304,0.48660376406478634,0.5133962359352137,0.0,0.5894848377819264,0.0014632423432060144,0.0,0.22216055300469248
SRDP,1,19819,-0.0014166883866775929,0.04591969134438436,0.021348186233474103,-0.00186376527284924,0.05358567209406575,0.48337453958322824,0.5166254604167718,0.0,0.6027044755033049,0.00015136989757303596,0.0,0.20747767294010797
STDP,2,19822,0.00402032726661932,0.08388329623570044,0.026549625819637306,0.004290589346407531,0.058733128656350435,0.4960145293108667,0.5039854706891332,0.0,0.6003935021693069,0.0005549389567147614,0.0,0.21365149833518313
T_STDP,2,19822,0.001706808333836914,0.06697915052768502,0.024228087271267768,0.0019770704136251255,0.05633168081014964,0.49641812127938656,0.5035818787206134,0.0,0.5963071334880435,0.0004540409645848048,0.0,0.21879729593381092
SRDP,2,19822,-0.0013497319674817974,0.043383700907625805,0.021185355629545096,-0.0010794698876935857,0.05357149268530762,0.49313893653516294,0.5068610634648371,0.0,0.6047321158308949,5.044899606497831e-05,0.0,0.20921198668146504
STDP,3,19909,0.005087508396994701,0.08778483754585824,0.027206964622196194,0.004425078775062756,0.05916095946112615,0.49033100607765334,0.5096689939223467,0.0,0.5973680245115275,0.0023105128333919334,0.0,0.22055351850921695
T_STDP,3,19909,0.003113251564487652,0.07466773177520687,0.025232724964139835,0.0024508219425557077,0.05720458889654267,0.49013009191822793,0.509869908081772,0.0,0.5963132251745442,0.001607313275403084,0.0,0.22226128886433272
SRDP,3,19909,-0.0008692402897068491,0.046154739269978866,0.02126383143976425,-0.0015316699116387934,0.05362082245514756,0.4867145512079964,0.5132854487920037,0.0,0.6063087046059571,0.0002009141594253855,0.0,0.21136169571550556
STDP,4,19991,0.005171766275005214,0.09039729987485708,0.027087034946414793,0.005436655837479971,0.059832810925802206,0.49087089190135563,0.5091291080986444,0.0,0.6112250512730729,0.004502025911660247,0.0,0.20499224651092993
T_STDP,4,19991,0.003307076251908382,0.08015623182894215,0.025225930486102038,0.00357196581438314,0.05807452034932476,0.48962032914811665,0.5103796708518833,0.0,0.6128757941073483,0.0038017107698464308,0.0,0.20364163873743185
SRDP,4,19991,-0.0008908295706881524,0.048596370782550295,0.02103821869617367,-0.0006259400082133946,0.05410656983494323,0.48761942874293435,0.5123805712570657,0.0,0.6185283377519883,0.0002000900405182332,0.0,0.19738882497123705
STDP,5,19954,0.003962377550016349,0.08251257519889159,0.0262953787296234,0.003552481254644164,0.05850749763363983,0.49122982860579334,0.5087701713942067,0.0,0.5968728074571514,0.0015034579532925728,0.0,0.21900370852961812
T_STDP,5,19954,0.002239015641177483,0.07149473467583609,0.02457418092129628,0.0018291193458052984,0.056824223184982633,0.4909792522802446,0.5090207477197555,0.0,0.5980755738197855,0.0006514984464267816,0.0,0.21765059637165482
SRDP,5,19954,-0.0007533991973985561,0.04866453576609659,0.02159421997117289,-0.0011632954927707413,0.05402659323594913,0.48887441114563496,0.511125588854365,0.0,0.6024857171494438,0.0006013831813170291,0.0,0.2132404530419966
STDP,6,20059,0.005895566497527599,0.09191661669337108,0.02767359023219621,0.005888457740547536,0.0599165482056537,0.49728301510543893,0.5027169848945611,0.0,0.6010768233710554,0.0022932349568772123,0.0,0.2155142330126128
T_STDP,6,20059,0.003833487404638915,0.08127275931907864,0.02561468757283158,0.003826378647658852,0.05797137328845154,0.49613639762700035,0.5038636023729997,0.0,0.6044169699386809,0.0019442644199611147,0.0,0.21212423351114212
SRDP,6,20059,-0.0006252312323349207,0.049616484329480105,0.021167656877223766,-0.0006323399893149837,0.053790886790817956,0.49314522159629093,0.5068547784037091,0.0,0.6109477042723964,0.0003489705369160975,0.0,0.20529438157435564
STDP,7,20144,0.0035366370225400276,0.07877845311270841,0.025841317833839163,0.0036770435740943012,0.05775301268842076,0.49513502779984114,0.5048649722001588,0.0,0.5982922954725973,0.0007446386020651311,0.0,0.21520055599682286
T_STDP,7,20144,0.0012154380135739216,0.06134514633979806,0.02351994372657353,0.0013558445651281957,0.055453457615748825,0.4949861000794281,0.5050138999205719,0.0,0.5973987291501192,0.0005460683081810961,0.0,0.21688840349483718
SRDP,7,20144,-0.0009706916534816661,0.045433474097654886,0.021342693084921368,-0.0008302851019273921,0.05347167970411181,0.4920571882446386,0.5079428117553614,0.0,0.6041004765687054,0.00014892772041302622,0.0,0.20934273232724385
STDP,8,19973,0.006061753154354419,0.09654150158102154,0.02820874499397915,0.006180971781399278,0.06101843892066571,0.4922645571521554,0.5077354428478446,0.0,0.6093726530816602,0.00495669153357032,0.0,0.20652881389876332
T_STDP,8,19973,0.0035038097469518394,0.0821260264804993,0.02565279696499562,0.0036230283739966973,0.05857631419246897,0.49091273218845444,0.5090872678115456,0.0,0.6113252891403395,0.003254393431132028,0.0,0.2045761778400841
SRDP,8,19973,-0.0015071403722313802,0.04643191837198319,0.02065488609734599,-0.0013879217451865213,0.0538949784050515,0.48700746007109597,0.512992539928904,0.0,0.6206378611125019,0.0003004055474891103,0.0,0.1949131327291844
STDP,9,19976,0.004528642043750366,0.08563421623058533,0.02696743373860676,0.004547824117909475,0.058862066057311785,0.49634561473768524,0.5036543852623148,0.0,0.5966159391269523,0.0016019223067681217,0.0,0.22136563876651982
T_STDP,9,19976,0.002437945907727142,0.07152209191985905,0.024873138614338007,0.0024571279818862515,0.056725485236655326,0.4965458550260312,0.5034541449739688,0.0,0.5951641970364437,0.0009511413696435723,0.0,0.22331798157789348
SRDP,9,19976,-0.0009971941890124208,0.04592865595374993,0.021449452580299865,-0.0009780121148533114,0.053646172638690155,0.4930917100520625,0.5069082899479376,0.0,0.6041750100120145,0.0001501802162595114,0.0,0.21415698838606329
STDP,10,20148,0.004281284810825336,0.08738234182226161,0.02688611118051258,0.0034678945369386693,0.059703117799071365,0.48327377407186817,0.5167262259281318,0.0,0.5985209450069486,0.00392098471312289,0.0,0.21193170538018663
T_STDP,10,20148,0.0021556161892129972,0.07360602457496951,0.024758330728218994,0.00134222591532633,0.057580618038935494,0.4831248759182053,0.5168751240817947,0.0,0.597528290649196,0.00228310502283105,0.0,0.21371848322414136
SRDP,10,20148,-0.001023576991655252,0.050351670453866945,0.021591985849981527,-0.0018369672655419186,0.05463986448051454,0.48069287274171135,0.5193071272582886,0.0,0.6042287075640262,0.0005955926146515784,0.0,0.20612467738733373
