type,material_a,material_b,i,j,sample_i,sample_j,mean_distance,max_distance,png
Al_board-Al_board,Al_board,Al_board,0,1,227,140,0.008229688521592685,0.024253273977455563,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_01_id140.png
Al_board-Al_board,Al_board,Al_board,0,2,227,224,0.014025703954958715,0.029340992945856615,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_02_id224.png
Al_board-Al_board,Al_board,Al_board,0,3,227,310,0.013380315236185302,0.03361517896166124,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_03_id310.png
Al_board-Al_board,Al_board,Al_board,0,4,227,180,0.01134362324431453,0.0320102782724871,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_04_id180.png
Al_board-Al_board,Al_board,Al_board,0,5,227,62,0.013460534396779786,0.02924548979159944,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_05_id62.png
Al_board-Al_board,Al_board,Al_board,0,6,227,266,0.014205005598201264,0.035280469598361286,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_06_id266.png
Al_board-Al_board,Al_board,Al_board,0,7,227,197,0.011577918377174036,0.02765762158639995,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_07_id197.png
Al_board-Al_board,Al_board,Al_board,0,8,227,165,0.012290534708689939,0.026623166995292314,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_08_id165.png
Al_board-Al_board,Al_board,Al_board,0,9,227,251,0.010295118487595954,0.03265691311807728,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_09_id251.png
Al_board-Al_board,Al_board,Al_board,0,10,227,75,0.015461885079027404,0.034956763202477266,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_10_id75.png
Al_board-Al_board,Al_board,Al_board,0,11,227,48,0.012603145987680128,0.02897120007274541,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_11_id48.png
Al_board-Al_board,Al_board,Al_board,0,12,227,16,0.01397522688702543,0.035856606906668705,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_12_id16.png
Al_board-Al_board,Al_board,Al_board,0,13,227,200,0.01465694669928942,0.03457951809711608,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_13_id200.png
Al_board-Al_board,Al_board,Al_board,0,14,227,98,0.015035810353964897,0.03326672801493287,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_00_id227_vs_Al_board_14_id98.png
Al_board-Al_board,Al_board,Al_board,1,2,140,224,0.012232964199518729,0.029813750010501277,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_02_id224.png
Al_board-Al_board,Al_board,Al_board,1,3,140,310,0.011750802763295123,0.028967304512385494,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_03_id310.png
Al_board-Al_board,Al_board,Al_board,1,4,140,180,0.009975312132757066,0.030580658787388967,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_04_id180.png
Al_board-Al_board,Al_board,Al_board,1,5,140,62,0.012078671404880094,0.023772883672885096,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_05_id62.png
Al_board-Al_board,Al_board,Al_board,1,6,140,266,0.011646093521292524,0.028492509487929252,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_06_id266.png
Al_board-Al_board,Al_board,Al_board,1,7,140,197,0.010987668273013436,0.03164086999946778,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_07_id197.png
Al_board-Al_board,Al_board,Al_board,1,8,140,165,0.009451009472504672,0.028372180632568772,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_08_id165.png
Al_board-Al_board,Al_board,Al_board,1,9,140,251,0.00883615457815357,0.023903497796718468,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_09_id251.png
Al_board-Al_board,Al_board,Al_board,1,10,140,75,0.016512023243714143,0.03161427877487591,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_10_id75.png
Al_board-Al_board,Al_board,Al_board,1,11,140,48,0.0118858117579708,0.030835848701105163,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_11_id48.png
Al_board-Al_board,Al_board,Al_board,1,12,140,16,0.013645493414807142,0.03862623614400062,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_12_id16.png
Al_board-Al_board,Al_board,Al_board,1,13,140,200,0.013097440644860606,0.03740067956727798,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_13_id200.png
Al_board-Al_board,Al_board,Al_board,1,14,140,98,0.011736219169528198,0.029276052576436583,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_01_id140_vs_Al_board_14_id98.png
Al_board-Al_board,Al_board,Al_board,2,3,224,310,0.009678112359795935,0.025244051560530972,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_02_id224_vs_Al_board_03_id310.png
Al_board-Al_board,Al_board,Al_board,2,4,224,180,0.014481599719528065,0.028638460436390407,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_02_id224_vs_Al_board_04_id180.png
Al_board-Al_board,Al_board,Al_board,2,5,224,62,0.010933514767753585,0.023574878554538593,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_02_id224_vs_Al_board_05_id62.png
Al_board-Al_board,Al_board,Al_board,2,6,224,266,0.011454979931412396,0.030621480237991227,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_02_id224_vs_Al_board_06_id266.png
Al_board-Al_board,Al_board,Al_board,2,7,224,197,0.008984528656757916,0.023329735556327908,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_02_id224_vs_Al_board_07_id197.png
Al_board-Al_board,Al_board,Al_board,2,8,224,165,0.011412076554427863,0.03263261994154616,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_02_id224_vs_Al_board_08_id165.png
Al_board-Al_board,Al_board,Al_board,2,9,224,251,0.012352383131638686,0.03201039101462645,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_02_id224_vs_Al_board_09_id251.png
Al_board-Al_board,Al_board,Al_board,2,10,224,75,0.015610228142252505,0.03621782181123507,C:\Users\haru4\OneDrive - 学校法人立命館\ドキュメント\研究\研究コード\code\liquid_state_spike_filter_distance_pair_inputs_rep1\pair_plots_Al_board_vs_Al_board\Al_board_02_id224_vs_Al_board_10_id75.png
